Test: moclan_bootstrap_1000,Reps: 300,Folds: 10
Algorithm,Mean Accuracy,Standard Deviation
Random Forest,96.00943397244893,1.2646323949638456
Linear SVM,86.41131677246622,2.04905464402592
LDA,86.04237325646673,2.1081662764243494
GNB,80.55786371291619,2.3998777892658016
KNN,95.08996955564191,1.434141246689521
NeuralNet,86.55949011098157,2.1374290497831683

Test: moclan,Reps: 300,Folds: 10
Algorithm,Mean Accuracy,Standard Deviation
Random Forest,87.8103301287865,2.564907849698371
Linear SVM,86.609451901566,2.661387543176725
LDA,86.17936392768608,2.7432119928445036
GNB,80.7511503113852,3.136706157261169
KNN,82.33741459580386,3.0773241632454407
NeuralNet,82.60342070258177,3.0648184420960667

Test: breaks,Reps: 300,Folds: 10
Algorithm,Mean Accuracy,Standard Deviation
Random Forest,55.098170989781735,3.8704942098326867
Linear SVM,53.68577302134349,4.2058060622979925
LDA,57.5455997944253,3.8615537421116253
GNB,54.910204667755,3.967585923435669
KNN,56.05277979321603,3.770602779973492
NeuralNet,58.3068323356914,3.949490666926268

Test: breaks_carngrouped,Reps: 300,Folds: 10
Algorithm,Mean Accuracy,Standard Deviation
Random Forest,61.27542324203398,3.7839099672325207
Linear SVM,61.16697049398391,4.4815373197963
LDA,62.81227553056412,3.8550031426904816
GNB,59.25081776407279,3.656281740366652
KNN,61.61097103815225,3.8066029872141
NeuralNet,64.18096317794304,3.704088527084423

