Test: breaks,Reps:,300
Random Forest (no bootstrap),Random Forest,Extra Trees,SVM - linear,SVM - RBF,Neural Network,LDA,Naive Bayes,KNN
75.86206896551724,74.13793103448276,70.6896551724138,63.793103448275865,72.41379310344827,74.13793103448276,68.10344827586206,56.03448275862068,72.41379310344827
65.51724137931035,69.82758620689656,66.37931034482759,59.48275862068966,67.24137931034483,60.3448275862069,62.06896551724138,56.896551724137936,64.65517241379311
67.24137931034483,70.6896551724138,71.55172413793103,62.93103448275862,70.6896551724138,68.96551724137932,64.65517241379311,58.620689655172406,72.41379310344827
75.86206896551724,71.55172413793103,73.27586206896551,62.93103448275862,65.51724137931035,72.41379310344827,67.24137931034483,63.793103448275865,68.96551724137932
66.37931034482759,65.51724137931035,65.51724137931035,64.65517241379311,68.10344827586206,71.55172413793103,63.793103448275865,62.06896551724138,69.82758620689656
65.51724137931035,68.96551724137932,69.82758620689656,60.3448275862069,63.793103448275865,65.51724137931035,63.793103448275865,57.758620689655174,64.65517241379311
68.10344827586206,70.6896551724138,69.82758620689656,57.758620689655174,71.55172413793103,68.10344827586206,62.93103448275862,59.48275862068966,68.96551724137932
72.41379310344827,68.10344827586206,67.24137931034483,56.03448275862068,62.93103448275862,57.758620689655174,62.06896551724138,46.55172413793103,57.758620689655174
62.93103448275862,62.06896551724138,60.3448275862069,56.896551724137936,60.3448275862069,55.172413793103445,61.206896551724135,54.310344827586206,56.03448275862068
65.51724137931035,68.10344827586206,65.51724137931035,56.03448275862068,63.793103448275865,63.793103448275865,56.03448275862068,56.896551724137936,65.51724137931035
74.13793103448276,72.41379310344827,69.82758620689656,66.37931034482759,72.41379310344827,68.10344827586206,68.10344827586206,56.896551724137936,63.793103448275865
75.0,75.86206896551724,70.6896551724138,59.48275862068966,68.96551724137932,63.793103448275865,66.37931034482759,61.206896551724135,62.06896551724138
68.96551724137932,68.96551724137932,73.27586206896551,58.620689655172406,60.3448275862069,58.620689655172406,61.206896551724135,45.689655172413794,65.51724137931035
65.51724137931035,68.10344827586206,57.758620689655174,67.24137931034483,62.93103448275862,66.37931034482759,68.10344827586206,59.48275862068966,61.206896551724135
72.41379310344827,70.6896551724138,76.72413793103449,61.206896551724135,68.96551724137932,67.24137931034483,66.37931034482759,60.3448275862069,61.206896551724135
68.10344827586206,68.96551724137932,68.10344827586206,67.24137931034483,70.6896551724138,62.93103448275862,66.37931034482759,53.44827586206896,63.793103448275865
65.51724137931035,68.96551724137932,68.96551724137932,55.172413793103445,68.10344827586206,58.620689655172406,58.620689655172406,50.0,66.37931034482759
65.51724137931035,69.82758620689656,68.10344827586206,62.93103448275862,66.37931034482759,69.82758620689656,62.93103448275862,62.06896551724138,64.65517241379311
67.24137931034483,66.37931034482759,69.82758620689656,66.37931034482759,69.82758620689656,64.65517241379311,68.96551724137932,59.48275862068966,65.51724137931035
76.72413793103449,75.86206896551724,75.86206896551724,71.55172413793103,70.6896551724138,66.37931034482759,71.55172413793103,58.620689655172406,63.793103448275865
75.86206896551724,69.82758620689656,74.13793103448276,62.93103448275862,73.27586206896551,64.65517241379311,66.37931034482759,56.03448275862068,64.65517241379311
72.41379310344827,72.41379310344827,68.10344827586206,68.10344827586206,68.10344827586206,71.55172413793103,67.24137931034483,63.793103448275865,62.06896551724138
68.10344827586206,71.55172413793103,69.82758620689656,61.206896551724135,67.24137931034483,69.82758620689656,66.37931034482759,62.06896551724138,68.10344827586206
66.37931034482759,69.82758620689656,64.65517241379311,58.620689655172406,64.65517241379311,57.758620689655174,62.06896551724138,50.0,62.06896551724138
67.24137931034483,66.37931034482759,72.41379310344827,69.82758620689656,71.55172413793103,73.27586206896551,65.51724137931035,57.758620689655174,70.6896551724138
68.10344827586206,64.65517241379311,64.65517241379311,63.793103448275865,57.758620689655174,62.93103448275862,66.37931034482759,62.06896551724138,62.93103448275862
68.96551724137932,72.41379310344827,63.793103448275865,59.48275862068966,61.206896551724135,62.93103448275862,59.48275862068966,62.06896551724138,58.620689655172406
68.96551724137932,67.24137931034483,72.41379310344827,68.10344827586206,73.27586206896551,61.206896551724135,63.793103448275865,56.896551724137936,68.10344827586206
63.793103448275865,71.55172413793103,68.96551724137932,65.51724137931035,70.6896551724138,65.51724137931035,68.96551724137932,62.06896551724138,68.96551724137932
66.37931034482759,68.10344827586206,68.10344827586206,64.65517241379311,64.65517241379311,68.96551724137932,65.51724137931035,57.758620689655174,64.65517241379311
