Percentage_Training_Data, Average_Accuracy
0.05, 0.672818181818182
0.1, 0.713717026378897
0.15, 0.729187817258883
0.2, 0.7412398921832883
0.25, 0.7454597701149425
0.3, 0.7555076923076922
0.35, 0.7558139534883721
0.4, 0.7561151079136689
0.45, 0.7626666666666668
0.5, 0.7651724137931035
0.55, 0.7664114832535887
0.6, 0.7637634408602152
0.65, 0.765521472392638
0.7, 0.7805755395683454
0.75, 0.7717241379310344
