Test: frags,Reps:,300,Numbers correspond to the number of times that algorithm was able to correctly classify that specimen
Specimen,Appearences,Random Forest (no bootstrap),Random Forest,Extra Trees,SVM - linear,SVM - RBF,Neural Network,LDA,Naive Bayes,KNN
MN10AA3303,70,43,54,39,57,11,33,54,42,41
MN10AA3304,59,4,2,0,24,0,1,14,0,0
MN10AA3305,64,64,64,64,63,64,64,63,64,64
MN10AA3402,76,76,76,76,76,76,76,76,76,76
MN10AA3403,87,42,51,37,16,59,62,4,0,74
MN10AA3404,64,44,50,57,5,55,4,0,3,63
MN10AA3405,70,32,42,59,2,45,26,17,70,70
MN11AA0403,68,68,68,68,68,68,68,63,68,68
MN11AA0404,84,84,84,84,84,84,84,84,84,84
MN11AA0405,88,88,88,88,88,88,88,79,82,88
MN11AA0407,75,75,75,75,75,75,74,75,52,52
MN11AA0408,78,78,78,78,78,78,78,78,78,78
MN11AA0503,83,83,83,83,78,83,83,82,83,83
MN11AA0504,71,71,70,71,68,71,69,66,71,71
MN11AA0505,73,44,50,55,5,12,2,5,0,36
MN11AA0506,73,73,73,73,73,73,73,73,73,73
MN11AA0603,78,78,78,78,78,78,78,12,78,78
MN11AA0604,84,84,84,84,84,84,84,83,84,84
MN11AA0605,73,73,73,73,73,73,73,73,73,73
MN11AA0606,82,82,82,82,82,82,82,82,0,77
MN11AA0703,66,66,66,66,66,66,66,66,40,66
MN11AA0706,77,22,9,23,53,11,8,49,0,0
MN11AA0904,92,1,0,0,0,0,0,3,0,3
MN11AA0906,61,61,61,61,61,61,61,61,61,61
MN11AA1003,76,76,76,75,75,76,76,76,76,72
MN11AA1107,75,75,75,75,75,75,75,75,75,75
MN12AA0102,67,67,67,67,67,67,67,67,67,67
MN12AA0104,66,45,49,59,5,65,66,0,66,65
MN12AA0105,95,95,95,95,95,95,95,95,95,95
MN12AA0106,68,68,68,68,68,68,68,68,68,68
MN12AA0110,78,73,77,78,50,78,78,74,78,78
MN12AA0202,61,61,61,61,61,61,61,61,61,61
MN12AA0203,64,64,64,62,64,64,64,64,64,51
MN12AA0204,86,76,83,74,81,85,86,84,86,52
MN12AA0205,76,76,76,76,76,76,76,76,76,76
MN12AA0206,73,6,3,4,14,10,41,29,73,4
MN12AA0207,81,48,65,36,18,69,81,0,81,18
MN12AA0208,65,0,0,0,17,0,0,2,0,0
MN12AA0209,74,74,74,72,74,74,74,74,74,74
MN12AA0210,72,0,0,0,0,0,0,0,72,0
MN12AA0301,74,74,74,74,74,74,74,74,74,74
MN12AA0302,79,68,76,77,79,71,79,79,77,75
MN12AA0303,78,78,78,78,78,78,78,75,78,78
MN12AA0402,68,0,0,0,0,0,0,0,0,0
MN12AA0403,65,65,65,65,64,62,65,64,65,65
MN12AA0404,87,9,2,2,0,75,69,0,87,43
MN12AA0405,61,61,61,61,61,61,61,61,61,61
MN12AA0406,64,56,59,62,53,64,64,51,64,64
MN12AA0407,70,0,0,0,0,0,0,0,6,0
MN12AA0408,64,50,52,45,14,8,8,0,0,0
MN12AA0409,73,73,73,73,73,73,73,73,72,73
MN12AA0410,76,1,0,0,2,0,0,0,0,0
MN12AA0411,82,81,80,82,82,82,82,57,82,76
MN12AA0502,74,74,74,74,74,74,74,74,74,74
MN12AA0503,70,62,66,63,69,70,69,43,52,70
MN12AA0505,82,59,68,79,74,79,80,81,82,82
MN12AA0506,73,73,73,73,73,73,73,73,73,73
MN12AA0507,79,79,79,79,79,79,79,79,79,79
MN12AA0508,87,7,6,19,8,56,47,10,86,23
MN12AA0509,78,0,0,0,0,0,0,0,0,0
MN12AA0510,70,1,0,0,3,0,0,0,30,0
