Method,Split Type,Number of Fragments,Number of Breaks Per Fragment,Number of Features,Accuracy
RF,frag-level,1000,2,20,0.512000
SVM,frag-level,1000,2,20,0.492000
RF,break-level,1000,2,50,0.868000
SVM,break-level,1000,2,50,0.580000
RF,frag-level,1000,2,50,0.612000
SVM,frag-level,1000,2,50,0.548000
RF,break-level,1000,2,100,0.860000
SVM,break-level,1000,2,100,0.570000
RF,frag-level,1000,2,100,0.544000
SVM,frag-level,1000,2,100,0.524000
RF,break-level,1000,5,10,1.000000
SVM,break-level,1000,5,10,0.516800
RF,frag-level,1000,5,10,0.516000
SVM,frag-level,1000,5,10,0.484000
RF,break-level,1000,5,20,0.996000
SVM,break-level,1000,5,20,0.584800
RF,frag-level,1000,5,20,0.488000
SVM,frag-level,1000,5,20,0.496000
RF,break-level,1000,5,50,0.996000
SVM,break-level,1000,5,50,0.609600
RF,frag-level,1000,5,50,0.472000
SVM,frag-level,1000,5,50,0.520000
RF,break-level,1000,5,100,0.996000
SVM,break-level,1000,5,100,0.593600
RF,frag-level,1000,5,100,0.512000
SVM,frag-level,1000,5,100,0.480000
RF,break-level,1000,10,10,1.000000
SVM,break-level,1000,10,10,0.529600
RF,frag-level,1000,10,10,0.524000
SVM,frag-level,1000,10,10,0.548000
RF,break-level,1000,10,20,1.000000
SVM,break-level,1000,10,20,0.538400
RF,frag-level,1000,10,20,0.488000
SVM,frag-level,1000,10,20,0.476000
RF,break-level,1000,10,50,1.000000
SVM,break-level,1000,10,50,0.562800
RF,frag-level,1000,10,50,0.500000
SVM,frag-level,1000,10,50,0.484000
RF,break-level,1000,10,100,1.000000
SVM,break-level,1000,10,100,0.648800
RF,frag-level,1000,10,100,0.536000
SVM,frag-level,1000,10,100,0.496000
RF,break-level,1000,20,10,1.000000
SVM,break-level,1000,20,10,0.541600
RF,frag-level,1000,20,10,0.440000
SVM,frag-level,1000,20,10,0.580000
RF,break-level,1000,20,20,1.000000
SVM,break-level,1000,20,20,0.573600
RF,frag-level,1000,20,20,0.492000
SVM,frag-level,1000,20,20,0.536000
RF,break-level,1000,20,50,1.000000
SVM,break-level,1000,20,50,0.605400
RF,frag-level,1000,20,50,0.484000
SVM,frag-level,1000,20,50,0.508000
RF,break-level,1000,20,100,1.000000
SVM,break-level,1000,20,100,0.646600
RF,frag-level,1000,20,100,0.532000
SVM,frag-level,1000,20,100,0.548000
RF,break-level,100,2,10,0.960000
SVM,break-level,100,2,10,0.560000
RF,frag-level,100,2,10,0.360000
SVM,frag-level,100,2,10,0.320000
RF,break-level,100,2,20,1.000000
SVM,break-level,100,2,20,0.600000
RF,frag-level,100,2,20,0.520000
SVM,frag-level,100,2,20,0.520000
RF,break-level,100,2,50,0.920000
SVM,break-level,100,2,50,0.800000
RF,frag-level,100,2,50,0.560000
SVM,frag-level,100,2,50,0.640000
RF,break-level,100,2,100,0.800000
SVM,break-level,100,2,100,0.800000
RF,frag-level,100,2,100,0.520000
SVM,frag-level,100,2,100,0.480000
RF,break-level,100,5,10,1.000000
SVM,break-level,100,5,10,0.664000
RF,frag-level,100,5,10,0.480000
SVM,frag-level,100,5,10,0.520000
RF,break-level,100,5,20,1.000000
SVM,break-level,100,5,20,0.616000
RF,frag-level,100,5,20,0.440000
SVM,frag-level,100,5,20,0.280000
RF,break-level,100,5,50,0.960000
SVM,break-level,100,5,50,0.848000
RF,frag-level,100,5,50,0.440000
SVM,frag-level,100,5,50,0.360000
RF,break-level,100,5,100,1.000000
SVM,break-level,100,5,100,1.000000
RF,frag-level,100,5,100,0.560000
SVM,frag-level,100,5,100,0.480000
RF,break-level,100,10,10,1.000000
SVM,break-level,100,10,10,0.488000
RF,frag-level,100,10,10,0.400000
SVM,frag-level,100,10,10,0.480000
RF,break-level,100,10,20,1.000000
SVM,break-level,100,10,20,0.744000
RF,frag-level,100,10,20,0.480000
SVM,frag-level,100,10,20,0.440000
RF,break-level,100,10,50,1.000000
SVM,break-level,100,10,50,0.880000
RF,frag-level,100,10,50,0.600000
SVM,frag-level,100,10,50,0.520000
RF,break-level,100,10,100,1.000000
SVM,break-level,100,10,100,1.000000
RF,frag-level,100,10,100,0.520000
SVM,frag-level,100,10,100,0.360000
RF,break-level,100,20,10,1.000000
SVM,break-level,100,20,10,0.618000
RF,frag-level,100,20,10,0.560000
SVM,frag-level,100,20,10,0.520000
RF,break-level,100,20,20,1.000000
SVM,break-level,100,20,20,0.778000
RF,frag-level,100,20,20,0.520000
SVM,frag-level,100,20,20,0.600000
RF,break-level,100,20,50,1.000000
SVM,break-level,100,20,50,0.870000
RF,frag-level,100,20,50,0.560000
SVM,frag-level,100,20,50,0.520000
RF,break-level,100,20,100,1.000000
SVM,break-level,100,20,100,1.000000
RF,frag-level,100,20,100,0.400000
SVM,frag-level,100,20,100,0.200000
RF,break-level,1000,2,10,0.880000
SVM,break-level,1000,2,10,0.524000
RF,frag-level,1000,2,10,0.528000
SVM,frag-level,1000,2,10,0.552000
RF,break-level,1000,2,20,0.892000
SVM,break-level,1000,2,20,0.538000
RF,frag-level,1000,2,20,0.476000
SVM,frag-level,1000,2,20,0.532000
RF,break-level,1000,2,50,0.888000
SVM,break-level,1000,2,50,0.522000
RF,frag-level,1000,2,50,0.484000
SVM,frag-level,1000,2,50,0.512000
RF,break-level,1000,2,100,0.888000
SVM,break-level,1000,2,100,0.544000
RF,frag-level,1000,2,100,0.464000
SVM,frag-level,1000,2,100,0.496000
RF,break-level,1000,5,10,1.000000
SVM,break-level,1000,5,10,0.540000
RF,frag-level,1000,5,10,0.472000
SVM,frag-level,1000,5,10,0.504000
RF,break-level,1000,5,20,1.000000
SVM,break-level,1000,5,20,0.533600
RF,frag-level,1000,5,20,0.548000
SVM,frag-level,1000,5,20,0.468000
RF,break-level,1000,5,50,0.992000
SVM,break-level,1000,5,50,0.566400
RF,frag-level,1000,5,50,0.500000
SVM,frag-level,1000,5,50,0.536000
RF,break-level,1000,5,100,1.000000
SVM,break-level,1000,5,100,0.600000
RF,frag-level,1000,5,100,0.484000
SVM,frag-level,1000,5,100,0.532000
RF,break-level,1000,10,10,1.000000
SVM,break-level,1000,10,10,0.556800
RF,frag-level,1000,10,10,0.496000
SVM,frag-level,1000,10,10,0.564000
RF,break-level,1000,10,20,1.000000
SVM,break-level,1000,10,20,0.560400
RF,frag-level,1000,10,20,0.476000
SVM,frag-level,1000,10,20,0.532000
RF,break-level,1000,10,50,1.000000
SVM,break-level,1000,10,50,0.569200
RF,frag-level,1000,10,50,0.504000
SVM,frag-level,1000,10,50,0.472000
RF,break-level,1000,10,100,1.000000
SVM,break-level,1000,10,100,0.609600
RF,frag-level,1000,10,100,0.516000
SVM,frag-level,1000,10,100,0.488000
RF,break-level,1000,20,10,1.000000
SVM,break-level,1000,20,10,0.528200
RF,frag-level,1000,20,10,0.484000
SVM,frag-level,1000,20,10,0.492000
RF,break-level,1000,20,20,1.000000
SVM,break-level,1000,20,20,0.549800
RF,frag-level,1000,20,20,0.488000
SVM,frag-level,1000,20,20,0.464000
RF,break-level,1000,20,50,1.000000
SVM,break-level,1000,20,50,0.567600
RF,frag-level,1000,20,50,0.504000
SVM,frag-level,1000,20,50,0.508000
RF,break-level,1000,20,100,1.000000
SVM,break-level,1000,20,100,0.634200
RF,frag-level,1000,20,100,0.532000
SVM,frag-level,1000,20,100,0.540000
RF,break-level,100,2,10,0.760000
SVM,break-level,100,2,10,0.440000
RF,frag-level,100,2,10,0.600000
SVM,frag-level,100,2,10,0.640000
RF,break-level,100,2,20,0.960000
SVM,break-level,100,2,20,0.600000
RF,frag-level,100,2,20,0.520000
SVM,frag-level,100,2,20,0.600000
RF,break-level,100,2,50,0.840000
SVM,break-level,100,2,50,0.640000
RF,frag-level,100,2,50,0.400000
SVM,frag-level,100,2,50,0.320000
RF,break-level,100,2,100,0.920000
SVM,break-level,100,2,100,0.820000
RF,frag-level,100,2,100,0.520000
SVM,frag-level,100,2,100,0.440000
RF,break-level,100,5,10,1.000000
SVM,break-level,100,5,10,0.600000
RF,frag-level,100,5,10,0.480000
SVM,frag-level,100,5,10,0.440000
RF,break-level,100,5,20,1.000000
SVM,break-level,100,5,20,0.640000
RF,frag-level,100,5,20,0.480000
SVM,frag-level,100,5,20,0.400000
RF,break-level,100,5,50,1.000000
SVM,break-level,100,5,50,0.816000
RF,frag-level,100,5,50,0.440000
SVM,frag-level,100,5,50,0.360000
RF,break-level,100,5,100,1.000000
SVM,break-level,100,5,100,1.000000
RF,frag-level,100,5,100,0.640000
SVM,frag-level,100,5,100,0.720000
RF,break-level,100,10,10,1.000000
SVM,break-level,100,10,10,0.676000
RF,frag-level,100,10,10,0.520000
SVM,frag-level,100,10,10,0.600000
RF,break-level,100,10,20,1.000000
SVM,break-level,100,10,20,0.760000
RF,frag-level,100,10,20,0.800000
SVM,frag-level,100,10,20,0.480000
RF,break-level,100,10,50,1.000000
SVM,break-level,100,10,50,0.920000
RF,frag-level,100,10,50,0.480000
SVM,frag-level,100,10,50,0.640000
RF,break-level,100,10,100,1.000000
SVM,break-level,100,10,100,1.000000
RF,frag-level,100,10,100,0.680000
SVM,frag-level,100,10,100,0.480000
RF,break-level,100,20,10,1.000000
SVM,break-level,100,20,10,0.698000
RF,frag-level,100,20,10,0.480000
SVM,frag-level,100,20,10,0.480000
RF,break-level,100,20,20,1.000000
SVM,break-level,100,20,20,0.696000
RF,frag-level,100,20,20,0.400000
SVM,frag-level,100,20,20,0.240000
RF,break-level,100,20,50,1.000000
SVM,break-level,100,20,50,0.954000
RF,frag-level,100,20,50,0.720000
SVM,frag-level,100,20,50,0.640000
RF,break-level,100,20,100,1.000000
SVM,break-level,100,20,100,1.000000
RF,frag-level,100,20,100,0.560000
SVM,frag-level,100,20,100,0.560000
RF,break-level,1000,2,10,0.888000
SVM,break-level,1000,2,10,0.504000
RF,frag-level,1000,2,10,0.520000
SVM,frag-level,1000,2,10,0.480000
RF,break-level,1000,2,20,0.860000
SVM,break-level,1000,2,20,0.500000
RF,frag-level,1000,2,20,0.544000
SVM,frag-level,1000,2,20,0.548000
RF,break-level,1000,2,50,0.900000
SVM,break-level,1000,2,50,0.540000
RF,frag-level,1000,2,50,0.452000
SVM,frag-level,1000,2,50,0.436000
RF,break-level,1000,2,100,0.860000
SVM,break-level,1000,2,100,0.524000
RF,frag-level,1000,2,100,0.532000
SVM,frag-level,1000,2,100,0.476000
RF,break-level,1000,5,10,0.996000
SVM,break-level,1000,5,10,0.521600
RF,frag-level,1000,5,10,0.512000
SVM,frag-level,1000,5,10,0.480000
RF,break-level,1000,5,20,1.000000
SVM,break-level,1000,5,20,0.537600
RF,frag-level,1000,5,20,0.500000
SVM,frag-level,1000,5,20,0.480000
RF,break-level,1000,5,50,1.000000
SVM,break-level,1000,5,50,0.574400
RF,frag-level,1000,5,50,0.500000
SVM,frag-level,1000,5,50,0.512000
RF,break-level,1000,5,100,1.000000
SVM,break-level,1000,5,100,0.630400
RF,frag-level,1000,5,100,0.540000
SVM,frag-level,1000,5,100,0.528000
RF,break-level,1000,10,10,1.000000
SVM,break-level,1000,10,10,0.564400
RF,frag-level,1000,10,10,0.520000
SVM,frag-level,1000,10,10,0.520000
RF,break-level,1000,10,20,1.000000
SVM,break-level,1000,10,20,0.585600
RF,frag-level,1000,10,20,0.460000
SVM,frag-level,1000,10,20,0.552000
RF,break-level,1000,10,50,1.000000
SVM,break-level,1000,10,50,0.586800
RF,frag-level,1000,10,50,0.532000
SVM,frag-level,1000,10,50,0.484000
RF,break-level,1000,10,100,1.000000
SVM,break-level,1000,10,100,0.616000
RF,frag-level,1000,10,100,0.528000
SVM,frag-level,1000,10,100,0.524000
RF,break-level,1000,20,10,1.000000
SVM,break-level,1000,20,10,0.557800
RF,frag-level,1000,20,10,0.484000
SVM,frag-level,1000,20,10,0.528000
RF,break-level,1000,20,20,1.000000
SVM,break-level,1000,20,20,0.562400
RF,frag-level,1000,20,20,0.488000
SVM,frag-level,1000,20,20,0.448000
RF,break-level,1000,20,50,1.000000
SVM,break-level,1000,20,50,0.588400
RF,frag-level,1000,20,50,0.484000
SVM,frag-level,1000,20,50,0.504000
RF,break-level,1000,20,100,1.000000
SVM,break-level,1000,20,100,0.617000
RF,frag-level,1000,20,100,0.512000
SVM,frag-level,1000,20,100,0.472000
RF,break-level,100,2,10,0.840000
SVM,break-level,100,2,10,0.500000
RF,frag-level,100,2,10,0.520000
SVM,frag-level,100,2,10,0.440000
RF,break-level,100,2,20,0.840000
SVM,break-level,100,2,20,0.600000
RF,frag-level,100,2,20,0.440000
SVM,frag-level,100,2,20,0.560000
RF,break-level,100,2,50,0.840000
SVM,break-level,100,2,50,0.720000
RF,frag-level,100,2,50,0.520000
SVM,frag-level,100,2,50,0.600000
RF,break-level,100,2,100,0.960000
SVM,break-level,100,2,100,0.900000
RF,frag-level,100,2,100,0.400000
SVM,frag-level,100,2,100,0.600000
RF,break-level,100,5,10,0.960000
SVM,break-level,100,5,10,0.440000
RF,frag-level,100,5,10,0.400000
SVM,frag-level,100,5,10,0.360000
RF,break-level,100,5,20,1.000000
SVM,break-level,100,5,20,0.592000
RF,frag-level,100,5,20,0.560000
SVM,frag-level,100,5,20,0.480000
RF,break-level,100,5,50,1.000000
SVM,break-level,100,5,50,0.792000
RF,frag-level,100,5,50,0.520000
SVM,frag-level,100,5,50,0.640000
RF,break-level,100,5,100,1.000000
SVM,break-level,100,5,100,1.000000
RF,frag-level,100,5,100,0.720000
SVM,frag-level,100,5,100,0.600000
RF,break-level,100,10,10,1.000000
SVM,break-level,100,10,10,0.660000
RF,frag-level,100,10,10,0.400000
SVM,frag-level,100,10,10,0.320000
RF,break-level,100,10,20,1.000000
SVM,break-level,100,10,20,0.724000
RF,frag-level,100,10,20,0.560000
SVM,frag-level,100,10,20,0.600000
RF,break-level,100,10,50,1.000000
SVM,break-level,100,10,50,0.800000
RF,frag-level,100,10,50,0.320000
SVM,frag-level,100,10,50,0.360000
RF,break-level,100,10,100,1.000000
SVM,break-level,100,10,100,1.000000
RF,frag-level,100,10,100,0.560000
SVM,frag-level,100,10,100,0.480000
RF,break-level,100,20,10,1.000000
SVM,break-level,100,20,10,0.718000
RF,frag-level,100,20,10,0.640000
SVM,frag-level,100,20,10,0.720000
RF,break-level,100,20,20,1.000000
SVM,break-level,100,20,20,0.750000
RF,frag-level,100,20,20,0.480000
SVM,frag-level,100,20,20,0.520000
RF,break-level,100,20,50,1.000000
SVM,break-level,100,20,50,0.792000
RF,frag-level,100,20,50,0.280000
SVM,frag-level,100,20,50,0.320000
RF,break-level,100,20,100,1.000000
SVM,break-level,100,20,100,1.000000
RF,frag-level,100,20,100,0.680000
SVM,frag-level,100,20,100,0.360000
RF,break-level,1000,2,10,0.868000
SVM,break-level,1000,2,10,0.522000
RF,frag-level,1000,2,10,0.488000
SVM,frag-level,1000,2,10,0.480000
RF,break-level,1000,2,20,0.896000
SVM,break-level,1000,2,20,0.560000
RF,frag-level,1000,2,20,0.504000
SVM,frag-level,1000,2,20,0.520000
RF,break-level,1000,2,50,0.852000
SVM,break-level,1000,2,50,0.502000
RF,frag-level,1000,2,50,0.528000
SVM,frag-level,1000,2,50,0.484000
RF,break-level,1000,2,100,0.920000
SVM,break-level,1000,2,100,0.576000
RF,frag-level,1000,2,100,0.420000
SVM,frag-level,1000,2,100,0.452000
RF,break-level,1000,5,10,0.992000
SVM,break-level,1000,5,10,0.508800
RF,frag-level,1000,5,10,0.520000
SVM,frag-level,1000,5,10,0.448000
RF,break-level,1000,5,20,1.000000
SVM,break-level,1000,5,20,0.537600
RF,frag-level,1000,5,20,0.452000
SVM,frag-level,1000,5,20,0.460000
RF,break-level,1000,5,50,0.992000
SVM,break-level,1000,5,50,0.532800
RF,frag-level,1000,5,50,0.536000
SVM,frag-level,1000,5,50,0.464000
RF,break-level,1000,5,100,1.000000
SVM,break-level,1000,5,100,0.588800
RF,frag-level,1000,5,100,0.472000
SVM,frag-level,1000,5,100,0.468000
RF,break-level,1000,10,10,1.000000
SVM,break-level,1000,10,10,0.551200
RF,frag-level,1000,10,10,0.492000
SVM,frag-level,1000,10,10,0.512000
RF,break-level,1000,10,20,1.000000
SVM,break-level,1000,10,20,0.532800
RF,frag-level,1000,10,20,0.476000
SVM,frag-level,1000,10,20,0.484000
RF,break-level,1000,10,50,1.000000
SVM,break-level,1000,10,50,0.595600
RF,frag-level,1000,10,50,0.504000
SVM,frag-level,1000,10,50,0.492000
RF,break-level,1000,10,100,1.000000
SVM,break-level,1000,10,100,0.618000
RF,frag-level,1000,10,100,0.476000
SVM,frag-level,1000,10,100,0.492000
RF,break-level,1000,20,10,1.000000
SVM,break-level,1000,20,10,0.511800
RF,frag-level,1000,20,10,0.580000
SVM,frag-level,1000,20,10,0.460000
RF,break-level,1000,20,20,1.000000
SVM,break-level,1000,20,20,0.561600
RF,frag-level,1000,20,20,0.508000
SVM,frag-level,1000,20,20,0.584000
RF,break-level,1000,20,50,1.000000
SVM,break-level,1000,20,50,0.613600
RF,frag-level,1000,20,50,0.464000
SVM,frag-level,1000,20,50,0.500000
RF,break-level,1000,20,100,1.000000
SVM,break-level,1000,20,100,0.641000
RF,frag-level,1000,20,100,0.500000
SVM,frag-level,1000,20,100,0.488000
RF,break-level,100,2,10,0.760000
SVM,break-level,100,2,10,0.440000
RF,frag-level,100,2,10,0.480000
SVM,frag-level,100,2,10,0.360000
RF,break-level,100,2,20,0.880000
SVM,break-level,100,2,20,0.620000
RF,frag-level,100,2,20,0.640000
SVM,frag-level,100,2,20,0.520000
RF,break-level,100,2,50,0.920000
SVM,break-level,100,2,50,0.720000
RF,frag-level,100,2,50,0.480000
SVM,frag-level,100,2,50,0.520000
RF,break-level,100,2,100,0.920000
SVM,break-level,100,2,100,0.900000
RF,frag-level,100,2,100,0.600000
SVM,frag-level,100,2,100,0.600000
RF,break-level,100,5,10,1.000000
SVM,break-level,100,5,10,0.656000
RF,frag-level,100,5,10,0.480000
SVM,frag-level,100,5,10,0.440000
RF,break-level,100,5,20,1.000000
SVM,break-level,100,5,20,0.672000
RF,frag-level,100,5,20,0.320000
SVM,frag-level,100,5,20,0.480000
RF,break-level,100,5,50,1.000000
SVM,break-level,100,5,50,0.824000
RF,frag-level,100,5,50,0.520000
SVM,frag-level,100,5,50,0.360000
RF,break-level,100,5,100,1.000000
SVM,break-level,100,5,100,1.000000
RF,frag-level,100,5,100,0.480000
SVM,frag-level,100,5,100,0.440000
RF,break-level,100,10,10,1.000000
SVM,break-level,100,10,10,0.532000
RF,frag-level,100,10,10,0.200000
SVM,frag-level,100,10,10,0.480000
RF,break-level,100,10,20,1.000000
SVM,break-level,100,10,20,0.712000
RF,frag-level,100,10,20,0.640000
SVM,frag-level,100,10,20,0.520000
RF,break-level,100,10,50,1.000000
SVM,break-level,100,10,50,0.868000
RF,frag-level,100,10,50,0.560000
SVM,frag-level,100,10,50,0.480000
RF,break-level,100,10,100,1.000000
SVM,break-level,100,10,100,1.000000
RF,frag-level,100,10,100,0.520000
SVM,frag-level,100,10,100,0.440000
RF,break-level,100,20,10,1.000000
SVM,break-level,100,20,10,0.602000
RF,frag-level,100,20,10,0.440000
SVM,frag-level,100,20,10,0.560000
RF,break-level,100,20,20,1.000000
SVM,break-level,100,20,20,0.712000
RF,frag-level,100,20,20,0.560000
SVM,frag-level,100,20,20,0.680000
RF,break-level,100,20,50,1.000000
SVM,break-level,100,20,50,0.830000
RF,frag-level,100,20,50,0.480000
SVM,frag-level,100,20,50,0.280000
RF,break-level,100,20,100,1.000000
SVM,break-level,100,20,100,1.000000
RF,frag-level,100,20,100,0.600000
SVM,frag-level,100,20,100,0.400000
RF,break-level,1000,2,10,0.884000
SVM,break-level,1000,2,10,0.552000
RF,frag-level,1000,2,10,0.508000
SVM,frag-level,1000,2,10,0.508000
RF,break-level,1000,2,20,0.848000
SVM,break-level,1000,2,20,0.540000
RF,frag-level,1000,2,20,0.528000
SVM,frag-level,1000,2,20,0.496000
RF,break-level,1000,2,50,0.908000
SVM,break-level,1000,2,50,0.550000
RF,frag-level,1000,2,50,0.524000
SVM,frag-level,1000,2,50,0.508000
RF,break-level,1000,2,100,0.872000
SVM,break-level,1000,2,100,0.574000
RF,frag-level,1000,2,100,0.496000
SVM,frag-level,1000,2,100,0.464000
RF,break-level,1000,5,10,0.996000
SVM,break-level,1000,5,10,0.520000
RF,frag-level,1000,5,10,0.524000
SVM,frag-level,1000,5,10,0.524000
RF,break-level,1000,5,20,1.000000
SVM,break-level,1000,5,20,0.543200
RF,frag-level,1000,5,20,0.484000
SVM,frag-level,1000,5,20,0.456000
RF,break-level,1000,5,50,0.996000
SVM,break-level,1000,5,50,0.596000
RF,frag-level,1000,5,50,0.540000
SVM,frag-level,1000,5,50,0.528000
RF,break-level,1000,5,100,1.000000
SVM,break-level,1000,5,100,0.598400
RF,frag-level,1000,5,100,0.520000
SVM,frag-level,1000,5,100,0.488000
RF,break-level,1000,10,10,1.000000
SVM,break-level,1000,10,10,0.568800
RF,frag-level,1000,10,10,0.468000
SVM,frag-level,1000,10,10,0.540000
RF,break-level,1000,10,20,1.000000
SVM,break-level,1000,10,20,0.572800
RF,frag-level,1000,10,20,0.564000
SVM,frag-level,1000,10,20,0.528000
RF,break-level,1000,10,50,1.000000
SVM,break-level,1000,10,50,0.598800
RF,frag-level,1000,10,50,0.500000
SVM,frag-level,1000,10,50,0.520000
RF,break-level,1000,10,100,1.000000
SVM,break-level,1000,10,100,0.575600
RF,frag-level,1000,10,100,0.536000
SVM,frag-level,1000,10,100,0.504000
RF,break-level,1000,20,10,1.000000
SVM,break-level,1000,20,10,0.549200
RF,frag-level,1000,20,10,0.460000
SVM,frag-level,1000,20,10,0.512000
RF,break-level,1000,20,20,1.000000
SVM,break-level,1000,20,20,0.554600
RF,frag-level,1000,20,20,0.456000
SVM,frag-level,1000,20,20,0.496000
RF,break-level,1000,20,50,1.000000
SVM,break-level,1000,20,50,0.588400
RF,frag-level,1000,20,50,0.504000
SVM,frag-level,1000,20,50,0.528000
RF,break-level,1000,20,100,1.000000
SVM,break-level,1000,20,100,0.630600
RF,frag-level,1000,20,100,0.528000
SVM,frag-level,1000,20,100,0.520000
