Method,Split Type,Number of Fragments,Number of Breaks Per Fragment,Number of Features,Accuracy
RF,frag-level,100,10,10,0.280000
SVM,frag-level,100,10,10,0.320000
RF,break-level,100,10,20,1.000000
SVM,break-level,100,10,20,0.768000
RF,frag-level,100,10,20,0.640000
SVM,frag-level,100,10,20,0.440000
RF,break-level,100,10,50,1.000000
SVM,break-level,100,10,50,0.884000
RF,frag-level,100,10,50,0.400000
SVM,frag-level,100,10,50,0.280000
RF,break-level,100,10,100,1.000000
SVM,break-level,100,10,100,1.000000
RF,frag-level,100,10,100,0.600000
SVM,frag-level,100,10,100,0.520000
RF,break-level,100,20,10,1.000000
SVM,break-level,100,20,10,0.694000
RF,frag-level,100,20,10,0.440000
SVM,frag-level,100,20,10,0.320000
RF,break-level,100,20,20,1.000000
SVM,break-level,100,20,20,0.774000
RF,frag-level,100,20,20,0.360000
SVM,frag-level,100,20,20,0.560000
RF,break-level,100,20,50,1.000000
SVM,break-level,100,20,50,0.836000
RF,frag-level,100,20,50,0.440000
SVM,frag-level,100,20,50,0.600000
RF,break-level,100,20,100,1.000000
SVM,break-level,100,20,100,1.000000
RF,frag-level,100,20,100,0.600000
SVM,frag-level,100,20,100,0.400000
RF,break-level,1000,2,10,0.848000
SVM,break-level,1000,2,10,0.518000
RF,frag-level,1000,2,10,0.440000
SVM,frag-level,1000,2,10,0.476000
RF,break-level,1000,2,20,0.888000
SVM,break-level,1000,2,20,0.522000
RF,frag-level,1000,2,20,0.492000
SVM,frag-level,1000,2,20,0.512000
RF,break-level,1000,2,50,0.884000
SVM,break-level,1000,2,50,0.588000
RF,frag-level,1000,2,50,0.512000
SVM,frag-level,1000,2,50,0.504000
RF,break-level,1000,2,100,0.888000
SVM,break-level,1000,2,100,0.558000
RF,frag-level,1000,2,100,0.524000
SVM,frag-level,1000,2,100,0.540000
RF,break-level,1000,5,10,0.992000
SVM,break-level,1000,5,10,0.504800
RF,frag-level,1000,5,10,0.480000
SVM,frag-level,1000,5,10,0.484000
RF,break-level,1000,5,20,1.000000
SVM,break-level,1000,5,20,0.522400
RF,frag-level,1000,5,20,0.408000
SVM,frag-level,1000,5,20,0.460000
RF,break-level,1000,5,50,0.996000
SVM,break-level,1000,5,50,0.584800
RF,frag-level,1000,5,50,0.488000
SVM,frag-level,1000,5,50,0.496000
RF,break-level,1000,5,100,1.000000
SVM,break-level,1000,5,100,0.612000
RF,frag-level,1000,5,100,0.500000
SVM,frag-level,1000,5,100,0.472000
RF,break-level,1000,10,10,1.000000
SVM,break-level,1000,10,10,0.548400
RF,frag-level,1000,10,10,0.472000
SVM,frag-level,1000,10,10,0.496000
RF,break-level,1000,10,20,1.000000
SVM,break-level,1000,10,20,0.566400
RF,frag-level,1000,10,20,0.512000
SVM,frag-level,1000,10,20,0.492000
RF,break-level,1000,10,50,1.000000
SVM,break-level,1000,10,50,0.584800
RF,frag-level,1000,10,50,0.452000
SVM,frag-level,1000,10,50,0.508000
RF,break-level,1000,10,100,1.000000
SVM,break-level,1000,10,100,0.632400
RF,frag-level,1000,10,100,0.432000
SVM,frag-level,1000,10,100,0.476000
RF,break-level,1000,20,10,1.000000
SVM,break-level,1000,20,10,0.537200
RF,frag-level,1000,20,10,0.468000
SVM,frag-level,1000,20,10,0.520000
RF,break-level,1000,20,20,1.000000
SVM,break-level,1000,20,20,0.570400
RF,frag-level,1000,20,20,0.452000
SVM,frag-level,1000,20,20,0.492000
RF,break-level,1000,20,50,1.000000
SVM,break-level,1000,20,50,0.615400
RF,frag-level,1000,20,50,0.536000
SVM,frag-level,1000,20,50,0.508000
RF,break-level,1000,20,100,1.000000
SVM,break-level,1000,20,100,0.610800
RF,frag-level,1000,20,100,0.496000
SVM,frag-level,1000,20,100,0.452000
RF,break-level,100,2,10,0.920000
SVM,break-level,100,2,10,0.620000
RF,frag-level,100,2,10,0.680000
SVM,frag-level,100,2,10,0.640000
RF,break-level,100,2,20,0.920000
SVM,break-level,100,2,20,0.680000
RF,frag-level,100,2,20,0.600000
SVM,frag-level,100,2,20,0.640000
RF,break-level,100,2,50,0.920000
SVM,break-level,100,2,50,0.660000
RF,frag-level,100,2,50,0.600000
SVM,frag-level,100,2,50,0.400000
RF,break-level,100,2,100,0.800000
SVM,break-level,100,2,100,0.820000
RF,frag-level,100,2,100,0.320000
SVM,frag-level,100,2,100,0.480000
RF,break-level,100,5,10,1.000000
SVM,break-level,100,5,10,0.656000
RF,frag-level,100,5,10,0.280000
SVM,frag-level,100,5,10,0.640000
RF,break-level,100,5,20,1.000000
SVM,break-level,100,5,20,0.736000
RF,frag-level,100,5,20,0.440000
SVM,frag-level,100,5,20,0.520000
RF,break-level,100,5,50,0.960000
SVM,break-level,100,5,50,0.840000
RF,frag-level,100,5,50,0.400000
SVM,frag-level,100,5,50,0.480000
RF,break-level,100,5,100,1.000000
SVM,break-level,100,5,100,1.000000
RF,frag-level,100,5,100,0.440000
SVM,frag-level,100,5,100,0.560000
RF,break-level,100,10,10,1.000000
SVM,break-level,100,10,10,0.524000
RF,frag-level,100,10,10,0.560000
SVM,frag-level,100,10,10,0.640000
RF,break-level,100,10,20,1.000000
SVM,break-level,100,10,20,0.688000
RF,frag-level,100,10,20,0.560000
SVM,frag-level,100,10,20,0.720000
RF,break-level,100,10,50,1.000000
SVM,break-level,100,10,50,0.908000
RF,frag-level,100,10,50,0.600000
SVM,frag-level,100,10,50,0.600000
RF,break-level,100,10,100,1.000000
SVM,break-level,100,10,100,1.000000
RF,frag-level,100,10,100,0.520000
SVM,frag-level,100,10,100,0.400000
RF,break-level,100,20,10,1.000000
SVM,break-level,100,20,10,0.574000
RF,frag-level,100,20,10,0.520000
SVM,frag-level,100,20,10,0.480000
RF,break-level,100,20,20,1.000000
SVM,break-level,100,20,20,0.686000
RF,frag-level,100,20,20,0.520000
SVM,frag-level,100,20,20,0.520000
RF,break-level,100,20,50,1.000000
SVM,break-level,100,20,50,0.866000
RF,frag-level,100,20,50,0.280000
SVM,frag-level,100,20,50,0.520000
RF,break-level,100,20,100,1.000000
SVM,break-level,100,20,100,1.000000
RF,frag-level,100,20,100,0.480000
SVM,frag-level,100,20,100,0.520000
RF,break-level,1000,2,10,0.880000
SVM,break-level,1000,2,10,0.518000
RF,frag-level,1000,2,10,0.436000
SVM,frag-level,1000,2,10,0.512000
RF,break-level,1000,2,20,0.876000
SVM,break-level,1000,2,20,0.524000
RF,frag-level,1000,2,20,0.540000
SVM,frag-level,1000,2,20,0.536000
RF,break-level,1000,2,50,0.860000
SVM,break-level,1000,2,50,0.548000
RF,frag-level,1000,2,50,0.436000
SVM,frag-level,1000,2,50,0.516000
RF,break-level,1000,2,100,0.888000
SVM,break-level,1000,2,100,0.596000
RF,frag-level,1000,2,100,0.528000
SVM,frag-level,1000,2,100,0.480000
RF,break-level,1000,5,10,1.000000
SVM,break-level,1000,5,10,0.548800
RF,frag-level,1000,5,10,0.420000
SVM,frag-level,1000,5,10,0.480000
RF,break-level,1000,5,20,0.996000
SVM,break-level,1000,5,20,0.534400
RF,frag-level,1000,5,20,0.496000
SVM,frag-level,1000,5,20,0.500000
RF,break-level,1000,5,50,1.000000
SVM,break-level,1000,5,50,0.569600
RF,frag-level,1000,5,50,0.496000
SVM,frag-level,1000,5,50,0.492000
RF,break-level,1000,5,100,0.996000
SVM,break-level,1000,5,100,0.637600
RF,frag-level,1000,5,100,0.476000
SVM,frag-level,1000,5,100,0.560000
RF,break-level,1000,10,10,1.000000
SVM,break-level,1000,10,10,0.546800
RF,frag-level,1000,10,10,0.500000
SVM,frag-level,1000,10,10,0.596000
RF,break-level,1000,10,20,1.000000
SVM,break-level,1000,10,20,0.565200
RF,frag-level,1000,10,20,0.492000
SVM,frag-level,1000,10,20,0.536000
RF,break-level,1000,10,50,1.000000
SVM,break-level,1000,10,50,0.588800
RF,frag-level,1000,10,50,0.468000
SVM,frag-level,1000,10,50,0.540000
RF,break-level,1000,10,100,1.000000
SVM,break-level,1000,10,100,0.623600
RF,frag-level,1000,10,100,0.440000
SVM,frag-level,1000,10,100,0.480000
RF,break-level,1000,20,10,1.000000
SVM,break-level,1000,20,10,0.526600
RF,frag-level,1000,20,10,0.488000
SVM,frag-level,1000,20,10,0.468000
RF,break-level,1000,20,20,1.000000
SVM,break-level,1000,20,20,0.554400
RF,frag-level,1000,20,20,0.548000
SVM,frag-level,1000,20,20,0.516000
RF,break-level,1000,20,50,1.000000
SVM,break-level,1000,20,50,0.583600
RF,frag-level,1000,20,50,0.512000
SVM,frag-level,1000,20,50,0.500000
RF,break-level,1000,20,100,1.000000
SVM,break-level,1000,20,100,0.653600
RF,frag-level,1000,20,100,0.516000
SVM,frag-level,1000,20,100,0.516000
RF,break-level,100,2,10,1.000000
SVM,break-level,100,2,10,0.480000
RF,frag-level,100,2,10,0.480000
SVM,frag-level,100,2,10,0.360000
RF,break-level,100,2,20,0.960000
SVM,break-level,100,2,20,0.640000
RF,frag-level,100,2,20,0.480000
SVM,frag-level,100,2,20,0.520000
RF,break-level,100,2,50,0.800000
SVM,break-level,100,2,50,0.680000
RF,frag-level,100,2,50,0.520000
SVM,frag-level,100,2,50,0.440000
RF,break-level,100,2,100,0.880000
SVM,break-level,100,2,100,0.820000
RF,frag-level,100,2,100,0.480000
SVM,frag-level,100,2,100,0.480000
RF,break-level,100,5,10,1.000000
SVM,break-level,100,5,10,0.672000
RF,frag-level,100,5,10,0.520000
SVM,frag-level,100,5,10,0.560000
RF,break-level,100,5,20,0.960000
SVM,break-level,100,5,20,0.616000
RF,frag-level,100,5,20,0.480000
SVM,frag-level,100,5,20,0.520000
RF,break-level,100,5,50,1.000000
SVM,break-level,100,5,50,0.832000
RF,frag-level,100,5,50,0.520000
SVM,frag-level,100,5,50,0.600000
RF,break-level,100,5,100,1.000000
SVM,break-level,100,5,100,1.000000
RF,frag-level,100,5,100,0.520000
SVM,frag-level,100,5,100,0.480000
RF,break-level,100,10,10,1.000000
SVM,break-level,100,10,10,0.552000
RF,frag-level,100,10,10,0.400000
SVM,frag-level,100,10,10,0.400000
RF,break-level,100,10,20,1.000000
SVM,break-level,100,10,20,0.772000
RF,frag-level,100,10,20,0.600000
SVM,frag-level,100,10,20,0.520000
RF,break-level,100,10,50,1.000000
SVM,break-level,100,10,50,0.876000
RF,frag-level,100,10,50,0.480000
SVM,frag-level,100,10,50,0.360000
RF,break-level,100,10,100,1.000000
SVM,break-level,100,10,100,1.000000
RF,frag-level,100,10,100,0.560000
SVM,frag-level,100,10,100,0.320000
RF,break-level,100,20,10,1.000000
SVM,break-level,100,20,10,0.638000
RF,frag-level,100,20,10,0.440000
SVM,frag-level,100,20,10,0.560000
RF,break-level,100,20,20,1.000000
SVM,break-level,100,20,20,0.734000
RF,frag-level,100,20,20,0.600000
SVM,frag-level,100,20,20,0.640000
RF,break-level,100,20,50,1.000000
SVM,break-level,100,20,50,0.922000
RF,frag-level,100,20,50,0.640000
SVM,frag-level,100,20,50,0.520000
RF,break-level,100,20,100,1.000000
SVM,break-level,100,20,100,1.000000
RF,frag-level,100,20,100,0.440000
SVM,frag-level,100,20,100,0.400000
RF,break-level,1000,2,10,0.860000
SVM,break-level,1000,2,10,0.512000
RF,frag-level,1000,2,10,0.540000
SVM,frag-level,1000,2,10,0.468000
RF,break-level,1000,2,20,0.872000
SVM,break-level,1000,2,20,0.474000
RF,frag-level,1000,2,20,0.452000
SVM,frag-level,1000,2,20,0.464000
RF,break-level,1000,2,50,0.828000
SVM,break-level,1000,2,50,0.548000
RF,frag-level,1000,2,50,0.512000
SVM,frag-level,1000,2,50,0.496000
RF,break-level,1000,2,100,0.860000
SVM,break-level,1000,2,100,0.562000
RF,frag-level,1000,2,100,0.428000
SVM,frag-level,1000,2,100,0.472000
RF,break-level,1000,5,10,1.000000
SVM,break-level,1000,5,10,0.533600
RF,frag-level,1000,5,10,0.496000
SVM,frag-level,1000,5,10,0.472000
RF,break-level,1000,5,20,0.996000
SVM,break-level,1000,5,20,0.564800
RF,frag-level,1000,5,20,0.488000
SVM,frag-level,1000,5,20,0.492000
RF,break-level,1000,5,50,1.000000
SVM,break-level,1000,5,50,0.581600
RF,frag-level,1000,5,50,0.544000
SVM,frag-level,1000,5,50,0.516000
RF,break-level,1000,5,100,1.000000
SVM,break-level,1000,5,100,0.603200
RF,frag-level,1000,5,100,0.480000
SVM,frag-level,1000,5,100,0.480000
RF,break-level,1000,10,10,1.000000
SVM,break-level,1000,10,10,0.559200
RF,frag-level,1000,10,10,0.524000
SVM,frag-level,1000,10,10,0.540000
RF,break-level,1000,10,20,1.000000
SVM,break-level,1000,10,20,0.549600
RF,frag-level,1000,10,20,0.512000
SVM,frag-level,1000,10,20,0.492000
RF,break-level,1000,10,50,1.000000
SVM,break-level,1000,10,50,0.613200
RF,frag-level,1000,10,50,0.500000
SVM,frag-level,1000,10,50,0.500000
RF,break-level,1000,10,100,1.000000
SVM,break-level,1000,10,100,0.606800
RF,frag-level,1000,10,100,0.492000
SVM,frag-level,1000,10,100,0.448000
RF,break-level,1000,20,10,1.000000
SVM,break-level,1000,20,10,0.546000
RF,frag-level,1000,20,10,0.472000
SVM,frag-level,1000,20,10,0.480000
RF,break-level,1000,20,20,1.000000
SVM,break-level,1000,20,20,0.565800
RF,frag-level,1000,20,20,0.476000
SVM,frag-level,1000,20,20,0.528000
RF,break-level,1000,20,50,1.000000
SVM,break-level,1000,20,50,0.578000
RF,frag-level,1000,20,50,0.488000
SVM,frag-level,1000,20,50,0.504000
RF,break-level,1000,20,100,1.000000
SVM,break-level,1000,20,100,0.625400
RF,frag-level,1000,20,100,0.544000
SVM,frag-level,1000,20,100,0.552000
RF,break-level,100,2,10,0.920000
SVM,break-level,100,2,10,0.640000
RF,frag-level,100,2,10,0.480000
SVM,frag-level,100,2,10,0.400000
RF,break-level,100,2,20,0.920000
SVM,break-level,100,2,20,0.660000
RF,frag-level,100,2,20,0.520000
SVM,frag-level,100,2,20,0.520000
RF,break-level,100,2,50,0.920000
SVM,break-level,100,2,50,0.620000
RF,frag-level,100,2,50,0.400000
SVM,frag-level,100,2,50,0.680000
RF,break-level,100,2,100,1.000000
SVM,break-level,100,2,100,0.960000
RF,frag-level,100,2,100,0.440000
SVM,frag-level,100,2,100,0.440000
RF,break-level,100,5,10,1.000000
SVM,break-level,100,5,10,0.600000
RF,frag-level,100,5,10,0.480000
SVM,frag-level,100,5,10,0.440000
RF,break-level,100,5,20,1.000000
SVM,break-level,100,5,20,0.704000
RF,frag-level,100,5,20,0.720000
SVM,frag-level,100,5,20,0.560000
RF,break-level,100,5,50,1.000000
SVM,break-level,100,5,50,0.768000
RF,frag-level,100,5,50,0.440000
SVM,frag-level,100,5,50,0.280000
RF,break-level,100,5,100,1.000000
SVM,break-level,100,5,100,1.000000
RF,frag-level,100,5,100,0.400000
SVM,frag-level,100,5,100,0.600000
RF,break-level,100,10,10,1.000000
SVM,break-level,100,10,10,0.492000
RF,frag-level,100,10,10,0.280000
SVM,frag-level,100,10,10,0.280000
RF,break-level,100,10,20,1.000000
SVM,break-level,100,10,20,0.688000
RF,frag-level,100,10,20,0.440000
SVM,frag-level,100,10,20,0.520000
RF,break-level,100,10,50,1.000000
SVM,break-level,100,10,50,0.764000
RF,frag-level,100,10,50,0.440000
SVM,frag-level,100,10,50,0.240000
RF,break-level,100,10,100,1.000000
SVM,break-level,100,10,100,1.000000
RF,frag-level,100,10,100,0.440000
SVM,frag-level,100,10,100,0.280000
RF,break-level,100,20,10,1.000000
SVM,break-level,100,20,10,0.636000
RF,frag-level,100,20,10,0.560000
SVM,frag-level,100,20,10,0.600000
RF,break-level,100,20,20,1.000000
SVM,break-level,100,20,20,0.716000
RF,frag-level,100,20,20,0.560000
SVM,frag-level,100,20,20,0.440000
RF,break-level,100,20,50,1.000000
SVM,break-level,100,20,50,0.978000
RF,frag-level,100,20,50,0.480000
SVM,frag-level,100,20,50,0.600000
RF,break-level,100,20,100,1.000000
SVM,break-level,100,20,100,1.000000
RF,frag-level,100,20,100,0.480000
SVM,frag-level,100,20,100,0.560000
RF,break-level,1000,2,10,0.892000
SVM,break-level,1000,2,10,0.484000
RF,frag-level,1000,2,10,0.440000
SVM,frag-level,1000,2,10,0.432000
RF,break-level,1000,2,20,0.880000
SVM,break-level,1000,2,20,0.538000
RF,frag-level,1000,2,20,0.540000
SVM,frag-level,1000,2,20,0.508000
RF,break-level,1000,2,50,0.888000
SVM,break-level,1000,2,50,0.566000
RF,frag-level,1000,2,50,0.544000
SVM,frag-level,1000,2,50,0.484000
RF,break-level,1000,2,100,0.892000
SVM,break-level,1000,2,100,0.538000
RF,frag-level,1000,2,100,0.452000
SVM,frag-level,1000,2,100,0.460000
RF,break-level,1000,5,10,0.996000
SVM,break-level,1000,5,10,0.532800
RF,frag-level,1000,5,10,0.556000
SVM,frag-level,1000,5,10,0.536000
RF,break-level,1000,5,20,1.000000
SVM,break-level,1000,5,20,0.548000
RF,frag-level,1000,5,20,0.504000
