Test: frags,Reps:,300
Random Forest (no bootstrap),Random Forest,Extra Trees,SVM - linear,SVM - RBF,Neural Network,LDA,Naive Bayes,KNN
77.58620689655173,75.86206896551724,75.86206896551724,81.03448275862068,81.03448275862068,75.86206896551724,79.3103448275862,73.27586206896551,74.13793103448276
78.44827586206897,81.03448275862068,78.44827586206897,78.44827586206897,80.17241379310344,80.17241379310344,75.86206896551724,75.0,70.6896551724138
77.58620689655173,78.44827586206897,79.3103448275862,77.58620689655173,74.13793103448276,78.44827586206897,78.44827586206897,68.10344827586206,75.86206896551724
67.24137931034483,70.6896551724138,71.55172413793103,74.13793103448276,73.27586206896551,69.82758620689656,76.72413793103449,64.65517241379311,71.55172413793103
76.72413793103449,81.03448275862068,79.3103448275862,79.3103448275862,78.44827586206897,80.17241379310344,81.03448275862068,77.58620689655173,77.58620689655173
78.44827586206897,81.03448275862068,76.72413793103449,79.3103448275862,82.75862068965517,81.03448275862068,78.44827586206897,70.6896551724138,79.3103448275862
75.0,79.3103448275862,76.72413793103449,77.58620689655173,80.17241379310344,77.58620689655173,75.86206896551724,70.6896551724138,78.44827586206897
80.17241379310344,79.3103448275862,83.62068965517241,80.17241379310344,81.89655172413794,83.62068965517241,80.17241379310344,75.86206896551724,82.75862068965517
75.0,78.44827586206897,79.3103448275862,77.58620689655173,81.03448275862068,80.17241379310344,74.13793103448276,74.13793103448276,77.58620689655173
76.72413793103449,76.72413793103449,75.0,74.13793103448276,78.44827586206897,75.0,77.58620689655173,68.10344827586206,76.72413793103449
73.27586206896551,78.44827586206897,79.3103448275862,80.17241379310344,78.44827586206897,76.72413793103449,76.72413793103449,69.82758620689656,76.72413793103449
75.0,75.86206896551724,74.13793103448276,75.0,71.55172413793103,73.27586206896551,75.86206896551724,69.82758620689656,75.86206896551724
80.17241379310344,82.75862068965517,81.89655172413794,73.27586206896551,78.44827586206897,78.44827586206897,70.6896551724138,69.82758620689656,76.72413793103449
75.0,76.72413793103449,75.86206896551724,70.6896551724138,75.0,74.13793103448276,70.6896551724138,71.55172413793103,74.13793103448276
71.55172413793103,73.27586206896551,69.82758620689656,67.24137931034483,68.10344827586206,71.55172413793103,70.6896551724138,66.37931034482759,70.6896551724138
82.75862068965517,84.48275862068965,81.03448275862068,78.44827586206897,82.75862068965517,81.03448275862068,81.89655172413794,79.3103448275862,81.03448275862068
67.24137931034483,69.82758620689656,68.10344827586206,74.13793103448276,70.6896551724138,69.82758620689656,75.86206896551724,71.55172413793103,68.96551724137932
69.82758620689656,70.6896551724138,75.86206896551724,73.27586206896551,72.41379310344827,72.41379310344827,69.82758620689656,70.6896551724138,74.13793103448276
76.72413793103449,75.0,78.44827586206897,79.3103448275862,78.44827586206897,74.13793103448276,77.58620689655173,70.6896551724138,74.13793103448276
73.27586206896551,71.55172413793103,71.55172413793103,71.55172413793103,75.86206896551724,73.27586206896551,74.13793103448276,70.6896551724138,75.0
73.27586206896551,76.72413793103449,74.13793103448276,75.86206896551724,79.3103448275862,79.3103448275862,75.86206896551724,78.44827586206897,78.44827586206897
74.13793103448276,72.41379310344827,74.13793103448276,76.72413793103449,76.72413793103449,76.72413793103449,78.44827586206897,73.27586206896551,76.72413793103449
75.86206896551724,76.72413793103449,75.86206896551724,70.6896551724138,77.58620689655173,75.86206896551724,69.82758620689656,69.82758620689656,76.72413793103449
79.3103448275862,80.17241379310344,79.3103448275862,73.27586206896551,82.75862068965517,78.44827586206897,74.13793103448276,70.6896551724138,75.86206896551724
82.75862068965517,79.3103448275862,83.62068965517241,80.17241379310344,85.34482758620689,77.58620689655173,76.72413793103449,74.13793103448276,80.17241379310344
69.82758620689656,73.27586206896551,74.13793103448276,77.58620689655173,81.89655172413794,76.72413793103449,78.44827586206897,73.27586206896551,75.86206896551724
72.41379310344827,68.96551724137932,70.6896551724138,74.13793103448276,75.86206896551724,73.27586206896551,75.0,68.96551724137932,72.41379310344827
82.75862068965517,82.75862068965517,80.17241379310344,81.03448275862068,84.48275862068965,77.58620689655173,82.75862068965517,69.82758620689656,79.3103448275862
71.55172413793103,75.86206896551724,77.58620689655173,79.3103448275862,77.58620689655173,75.0,75.86206896551724,70.6896551724138,77.58620689655173
81.89655172413794,81.03448275862068,82.75862068965517,78.44827586206897,80.17241379310344,81.03448275862068,78.44827586206897,76.72413793103449,81.03448275862068
76.72413793103449,76.72413793103449,79.3103448275862,81.03448275862068,78.44827586206897,75.86206896551724,75.86206896551724,70.6896551724138,75.0
75.0,75.0,75.86206896551724,73.27586206896551,77.58620689655173,75.0,73.27586206896551,71.55172413793103,79.3103448275862
76.72413793103449,76.72413793103449,79.3103448275862,80.17241379310344,80.17241379310344,81.03448275862068,78.44827586206897,77.58620689655173,82.75862068965517
81.03448275862068,81.03448275862068,79.3103448275862,77.58620689655173,81.03448275862068,81.03448275862068,75.86206896551724,77.58620689655173,79.3103448275862
72.41379310344827,74.13793103448276,75.86206896551724,81.03448275862068,78.44827586206897,75.86206896551724,75.86206896551724,67.24137931034483,76.72413793103449
76.72413793103449,75.86206896551724,76.72413793103449,75.86206896551724,78.44827586206897,78.44827586206897,75.0,74.13793103448276,78.44827586206897
76.72413793103449,73.27586206896551,77.58620689655173,73.27586206896551,77.58620689655173,75.0,75.0,65.51724137931035,74.13793103448276
72.41379310344827,71.55172413793103,75.86206896551724,71.55172413793103,73.27586206896551,71.55172413793103,70.6896551724138,68.10344827586206,77.58620689655173
79.3103448275862,82.75862068965517,82.75862068965517,74.13793103448276,81.89655172413794,79.3103448275862,72.41379310344827,70.6896551724138,75.86206896551724
77.58620689655173,79.3103448275862,80.17241379310344,75.86206896551724,79.3103448275862,78.44827586206897,74.13793103448276,72.41379310344827,79.3103448275862
78.44827586206897,80.17241379310344,81.03448275862068,75.0,78.44827586206897,78.44827586206897,72.41379310344827,76.72413793103449,75.86206896551724
81.89655172413794,82.75862068965517,82.75862068965517,81.03448275862068,86.20689655172413,81.89655172413794,81.89655172413794,78.44827586206897,80.17241379310344
83.62068965517241,83.62068965517241,81.03448275862068,82.75862068965517,83.62068965517241,81.03448275862068,83.62068965517241,78.44827586206897,78.44827586206897
