Test:,breaks,Summary Stats,Reps:,300
Algorithm,Mean Accuracy,Standard Deviation
Random Forest,68.74712643678161,3.898975274518504
Extra Trees,68.80747126436782,3.9275155235012265
SVM - Linear,62.68678160919541,4.762730574308286
SVM - RBF,67.47126436781609,4.1098986617887645
Neural Network,66.14942528735632,5.23351522363159
Linear Discriminant Analysis,64.95114942528735,4.413040038427439
Gaussian Naive Bayes,57.47413793103448,4.648870255150935
K-Nearest Neighbor,65.74425287356321,4.351583379632709
