Test:,frags_frag_level_vars_only,Summary Stats,Reps:,300
Algorithm,Mean Accuracy,Standard Deviation
Random Forest,77.0948275862069,3.6829384830588783
Extra Trees,78.11781609195403,3.45649762175845
SVM - Linear,77.4396551724138,3.293332873996447
SVM - RBF,79.316091954023,3.4288196320643274
Neural Network,78.08908045977012,3.620319037773087
Linear Discriminant Analysis,76.45977011494253,3.473252456488419
Gaussian Naive Bayes,72.56896551724138,3.910880479844128
K-Nearest Neighbor,77.41954022988506,3.545604406735653
