Specimen,Surface Area,Volume,Bounding Box Dim1,Bounding Box Dim2,Bounding Box Dim3,nv a 1,nv a 2,nv a 3,nv b 1,nv b 2,nv b 3,nv c 1,nv c 2,nv c 3
MN12AA5803,7639.35693359375,15802.240885416666,103.02802276611328,38.45054626464844,18.36089324951172,0.09530368447303772,0.06364844739437103,-0.9934113621711731,0.9939641952514648,0.04838833957910538,0.09845699369907379,-0.05433616042137146,0.996798574924469,0.058652687817811966
MN12AA6311,869.6946411132812,931.9649251302084,31.944644927978516,17.418981552124023,5.493625640869141,0.41424840688705444,0.005656627006828785,-0.9101462960243225,-0.8963485956192017,0.17610444128513336,-0.4068739414215088,-0.15797926485538483,-0.9843552112579346,-0.07802128791809082
MN19050208,4078.46337890625,6527.655598958333,87.68904113769531,19.293018341064453,15.521188735961914,0.024467647075653076,-0.04869452118873596,0.9985139966011047,-0.9852747321128845,0.1678941547870636,0.03233092278242111,0.1692190021276474,0.984601616859436,0.0438695065677166
MN12AA6002,5646.6767578125,7501.677734375,103.16917419433594,33.32233428955078,11.469797134399414,0.005898786708712578,-0.0007067610276862979,0.9999823570251465,0.9890038967132568,0.14777828752994537,-0.0057295807637274265,0.14777162671089172,-0.9890202879905701,-0.001570702064782381
MN19080803,2699.080078125,4073.4928385416665,79.27024841308594,18.636489868164062,10.014116287231445,0.02962910197675228,0.04419450834393501,-0.9985834956169128,-0.9951609373092651,0.09493819624185562,-0.025325853377580643,-0.09368444979190826,-0.9945016503334045,-0.046793580055236816
MN13AA1011,5169.560546875,13078.00390625,86.41496276855469,32.238624572753906,21.206087112426758,0.06083951145410538,0.014125073328614235,0.9980475902557373,-0.9957439303398132,0.07020870596170425,0.05970543995499611,0.06922829151153564,0.997432291507721,-0.018336419016122818
MN12AA5905,4245.8115234375,7361.024739583333,113.7701644897461,29.620071411132812,13.83108139038086,0.0016342544695362449,0.006916548125445843,0.9999747276306152,-0.9999891519546509,0.004377567209303379,0.0016039995243772864,0.00436636246740818,0.9999665021896362,-0.006923626642674208
MN15AA2506,6869.3740234375,13360.81640625,92.87300872802734,40.06500244140625,25.414443969726562,0.3969306945800781,-0.03650111332535744,0.917122483253479,0.9148585796356201,0.09632164239883423,-0.39211729168891907,0.07402602583169937,-0.9946807622909546,-0.07162637263536453
MN12AA0606,2925.352783203125,4910.555989583333,81.73959350585938,25.28630828857422,12.00227165222168,0.22845542430877686,0.02638978138566017,-0.9731966257095337,0.9733516573905945,0.014207422733306885,0.22887706756591797,-0.01986663229763508,0.9995507597923279,0.022440774366259575
MN10AA2704,6594.1162109375,11895.6484375,101.77766418457031,35.40918731689453,14.926666259765625,0.19783900678157806,-0.013593816198408604,-0.9801402688026428,-0.9795694947242737,0.034084465354681015,-0.19819653034210205,-0.0361018069088459,-0.9993265271186829,0.00657285051420331
