Specimen,Surface Area,Volume,Bounding Box Dim1,Bounding Box Dim2,Bounding Box Dim3,nv a 1,nv a 2,nv a 3,nv b 1,nv b 2,nv b 3,nv c 1,nv c 2,nv c 3
MN15AA3416,2233.88,3952.7630208333335,48.240215,22.209183,11.63641,0.061061922,-0.010025465,-0.99808365,-0.99434406,0.08644531,-0.061701458,-0.08689823,-0.99620616,0.0046902453
MN10AA2006,2967.23,6024.748046875,80.53839,22.601143,14.0621395,0.1819365,-0.03552221,-0.98266846,-0.9827888,0.025974171,-0.1828977,-0.03202093,-0.9990313,0.03018518
MN12AA6503,4477.771,7853.588541666667,91.37736,28.835972,11.713662,0.043591097,0.011890258,-0.9989787,0.9989149,0.01589219,0.04377747,-0.016396485,0.999803,0.011184597
MN19050242,1473.3593,2394.5651041666665,46.962543,17.587212,11.339743,0.34105352,0.18329045,-0.92200166,0.9399501,-0.080344304,0.33172062,0.01327636,0.97977006,0.1996856
MN15010403,4761.7324,7984.272786458333,125.74252,22.244408,11.877451,0.07271725,-0.041909143,0.9964717,-0.9965555,0.03688334,0.074274585,0.039865986,0.9984404,0.039082732
MN13AA0705,3734.2544,5959.755208333333,85.537964,25.96032,9.622572,0.056034062,-0.025747715,0.9980968,-0.99806815,0.025423516,0.0566883,0.026834723,0.9993451,0.02427339
MN10AA3204,3165.727,6696.219401041667,66.92072,24.241627,12.1429,0.16991849,-0.03493161,0.98483884,0.981478,0.0957279,-0.16594322,0.088479884,-0.9947944,-0.050550546
MN10AA2803,3992.4282,6019.0546875,109.068085,21.964863,8.597069,0.041437354,-0.0667029,0.99691206,-0.9987394,-0.031055287,0.039435416,-0.028328933,0.9972895,0.06790567
MN10AA2704,6594.116,11895.6484375,101.777664,35.409187,14.926666,0.197839,-0.013593816,-0.98014027,-0.9795695,0.034084465,-0.19819653,-0.036101807,-0.9993265,0.0065728505
MN15AA2402,4718.432,9811.611328125,61.088696,34.313034,27.989147,0.22053131,-0.08732017,0.9714634,-0.968184,0.10116207,0.22887982,0.11826108,0.9910305,0.062232587
MN13AA0119,962.2316,1219.972412109375,35.14729,15.998121,8.713529,0.3089316,0.031085836,-0.9505761,-0.94699293,0.10265987,-0.3044099,-0.08812319,-0.9942307,-0.061152942
MN19080808,2957.5884,4975.454427083333,59.906982,17.515903,15.387266,0.107920535,-0.13501579,0.9849487,-0.9723291,0.19214539,0.1328769,0.20719384,0.9720344,0.11054334
MN15AA3410,3792.5168,4552.254231770833,72.83681,26.397112,16.723783,0.0424797,0.030514082,0.99863124,-0.9966864,0.07069108,0.04023694,0.06936653,0.99703145,-0.033415906
MN11AA0605,2886.6836,5826.038411458333,59.52569,24.101437,10.941694,0.04820284,-0.03893077,0.9980786,0.9974059,0.055357262,-0.0460111,0.05345965,-0.99770737,-0.041498158
MN19081304,1880.2207,2485.3766276041665,56.89045,21.453331,10.812586,0.11694469,-0.042200536,0.99224144,-0.98549557,0.118779995,0.12120141,0.122973196,0.9920234,0.027697751
MN15AA2902,1280.4904,2244.97998046875,33.533287,19.531326,9.081499,0.21598837,-0.019768931,-0.9761958,-0.9755981,0.036039714,-0.21658596,-0.03946349,-0.9991548,0.011502371
MN15AA3403,9042.464,21331.31640625,137.30252,27.87431,18.13363,0.05606987,-0.1095855,0.9923947,-0.9962683,0.059183486,0.062824085,0.065617986,0.99221385,0.10585815
MN14AA0506,16154.592,44918.40625,178.47083,40.745148,38.761032,-0.017532451,0.022103336,0.99960196,0.9576356,-0.2870513,0.023143703,-0.28744859,-0.95766014,0.016134229
MN12AA0806,1496.4353,2145.90478515625,39.593388,22.363888,7.0437174,0.15205473,0.07356928,0.9856302,-0.98379385,0.10713796,0.14377445,0.09502103,0.99151856,-0.08866784
MN13AA0804,13580.103,30543.15625,179.1069,33.17028,22.979269,0.065487444,0.037374716,-0.9971532,0.9978199,-0.010643705,0.06513229,0.008179103,0.99924463,0.03799026
MN10AA0707,2414.422,4510.836263020833,56.289307,21.069809,15.11335,0.022325424,-0.056367457,0.9981604,0.9867962,0.16144803,-0.012954057,0.16042085,-0.98527014,-0.05922759
MN12AA0206,2736.616,4938.085611979167,54.86872,28.621214,11.226501,0.056007653,-0.034042597,0.9978498,-0.9980077,0.027166659,0.05694333,0.029046744,0.9990511,0.03245323
MN19050218,3199.3801,5561.202473958333,77.49263,18.165516,12.220064,0.07411827,-0.01650436,0.9971129,0.978405,0.19466034,-0.06950562,0.19295119,-0.98073184,-0.030575836
MN13AA0710,1064.4352,1112.0802408854167,36.709976,18.960863,5.4825525,0.26015306,-0.041596107,0.964671,-0.961906,0.0757573,0.262674,0.08400709,0.9962583,0.020303052
MN13AA0309,4739.462,10520.799479166666,82.6582,30.828714,15.538321,0.0051214304,-0.008934252,0.99994695,-0.99989504,0.013507109,0.0052418467,0.0135532245,0.99986887,0.008864138
MN10AA3202,8219.429,15457.354166666666,168.35065,30.730515,13.723442,0.048168655,0.0084654605,0.9988033,-0.9978728,0.044384897,0.047747593,0.043927576,0.9989786,-0.010585413
MN15010405,1719.5837,2354.3972981770835,70.1566,13.749535,8.23386,0.0050808783,-0.06252881,0.99803025,-0.99994344,-0.009645029,0.0044863354,-0.009345505,0.99799657,0.062574275
