Specimen,BreakNo,Count,Mean,Median,STD,Max,Min,Range,ArcLength,EuclideanLength,ArcAngle,interior_edge,Interrupted,Interruptedby,ridge_notch,interior_notch,Species,Common,SzCl,SizeRangeLb,SizeRangeKg,SkelPort,LPort,Element,Side,ActorTaxon,Effector,trab,Surface Area,Volume,Bounding Box Dim1,Bounding Box Dim2,Bounding Box Dim3
MN10AA0207,3,4,89.71880725000001,90.3744735,1.8532328631783415,91.435303,86.690979,4.744324000000006,13.616563097872435,12.081851451660876,49.95072468262415,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,1415.7914,2530.418294270833,39.75901,18.392242,9.719141
MN10AA0207,4,13,130.12942500000003,133.978546,15.65963690258706,151.610703,99.183189,52.427514,36.26363136652905,35.23353125915709,12.035440651552104,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,1415.7914,2530.418294270833,39.75901,18.392242,9.719141
MN10AA0302,1,17,89.40730276470589,86.55529,6.479764407187488,108.216133,83.20739,25.008742999999996,56.82347000365075,56.62922536517694,8.377620072070112,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2314.4802,4319.266927083333,80.705185,17.984905,8.291865
MN10AA0302,2,3,89.568517,87.235092,4.206804665698894,95.474655,85.995804,9.478850999999992,13.040811021627405,12.87445634852206,25.402195722847974,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2314.4802,4319.266927083333,80.705185,17.984905,8.291865
MN10AA0302,3,21,91.02366961904761,85.241493,12.754311914383646,115.00042,75.962685,39.03773500000001,70.16443790947693,68.79659699592706,8.241789856085088,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2314.4802,4319.266927083333,80.705185,17.984905,8.291865
MN10AA0302,4,4,96.27707475,97.9279785,12.654936935127438,109.805656,79.446686,30.35897,9.652693344015786,9.18100327633097,55.51172286897969,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2314.4802,4319.266927083333,80.705185,17.984905,8.291865
MN10AA0302,5,3,59.63189199999999,60.795929,7.999140821669079,68.794777,49.30497,19.489807,7.624465667608064,7.226230398347399,46.935423683971074,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2314.4802,4319.266927083333,80.705185,17.984905,8.291865
MN10AA0304,1,11,85.61394636363636,90.509819,15.136212139920364,103.295898,62.045677,41.250220999999996,28.45241171322536,19.097226934295982,45.586066217328764,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,6449.401,14867.10546875,106.74329,25.193531,17.282047
MN10AA0304,2,7,61.56674642857143,59.710545,7.23945657129448,78.782921,54.903675,23.879246000000002,20.940694021069902,20.647170830235694,8.411770574289088,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,6449.401,14867.10546875,106.74329,25.193531,17.282047
MN10AA0304,3,11,83.94870763636364,86.720955,8.306429578327954,95.388977,69.409363,25.979613999999998,38.292088198247896,38.016326325540724,2.4765428791482003,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,6449.401,14867.10546875,106.74329,25.193531,17.282047
MN10AA0304,4,7,127.34648342857143,121.389,10.910991786689266,146.14035,116.967308,29.17304200000001,22.366230473271962,21.92732576261867,15.429340491586213,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,6449.401,14867.10546875,106.74329,25.193531,17.282047
MN10AA0304,5,9,71.99742655555556,78.725296,22.391668982079235,97.83519,24.634039,73.201151,24.345185855334023,12.836369351183373,47.344525374702954,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,6449.401,14867.10546875,106.74329,25.193531,17.282047
MN10AA0304,6,5,72.916008,64.12323,17.929320068588687,100.537453,51.417042,49.120411,16.476010319375348,11.269817270923252,76.80889562428993,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,6449.401,14867.10546875,106.74329,25.193531,17.282047
MN10AA0304,7,2,95.9049415,95.9049415,7.188022499999995,103.092964,88.716919,14.37604499999999,7.285821097300065,6.884163742968341,56.29557252793621,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,6449.401,14867.10546875,106.74329,25.193531,17.282047
MN10AA0304,8,29,74.914635,67.977776,17.770297318186337,110.055374,53.743076,56.312298,104.3365536766671,102.90385784357164,4.235072815643845,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,6449.401,14867.10546875,106.74329,25.193531,17.282047
MN10AA0304,9,3,72.83961233333333,73.077003,2.599971296178645,75.898575,69.543259,6.355315999999988,9.572276165234868,8.98311451836166,5.655875647865676,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,6449.401,14867.10546875,106.74329,25.193531,17.282047
MN10AA0304,10,1,90.633774,90.633774,0.0,90.633774,90.633774,0.0,4.452067822870854,4.446117956150063,17.720657245352342,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,6449.401,14867.10546875,106.74329,25.193531,17.282047
MN10AA0305,1,7,66.09780500000001,65.379822,15.768579778554566,100.127174,47.103367,53.023807,28.496702718287885,25.582783871971404,40.57331843409646,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,True,4063.5667,6258.709635416667,59.352997,25.89496,16.154682
MN10AA0305,2,6,66.96649566666667,63.320383,18.282841357029085,94.043724,46.986626,47.057097999999996,20.43401772427453,17.15074136036107,57.69861154188777,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,True,4063.5667,6258.709635416667,59.352997,25.89496,16.154682
MN10AA0305,3,18,94.03068005555555,98.42506,28.220073963083728,141.950897,47.107738,94.843159,57.53994784809351,49.98356780552985,14.741167791836013,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,True,4063.5667,6258.709635416667,59.352997,25.89496,16.154682
MN10AA0305,4,1,65.333748,65.333748,0.0,65.333748,65.333748,0.0,4.309218347590632,3.9040606821615897,67.27414827466352,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,True,4063.5667,6258.709635416667,59.352997,25.89496,16.154682
MN10AA0305,5,1,69.411774,69.411774,0.0,69.411774,69.411774,0.0,4.240526434987706,4.231554713104865,20.51263634631482,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,True,4063.5667,6258.709635416667,59.352997,25.89496,16.154682
MN10AA0305,6,8,89.73935875000001,90.44143650000001,2.237333290487572,92.359093,85.455574,6.903519000000003,28.054237771871183,27.986828472872734,13.326516532100436,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,True,4063.5667,6258.709635416667,59.352997,25.89496,16.154682
MN10AA0305,7,1,75.026886,75.026886,0.0,75.026886,75.026886,0.0,5.086223729510673,5.028726731489797,16.36392976876025,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,True,4063.5667,6258.709635416667,59.352997,25.89496,16.154682
MN10AA0306,1,24,99.43920233333334,92.660187,23.461974648241007,140.959335,60.560902,80.39843300000001,71.51114032066188,70.010479235683,13.066713042759,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,8245.93,22732.79427083333,110.81813,26.50793,25.587662
MN10AA0306,2,5,84.97606019999999,90.755615,10.919080037101049,96.596725,70.500885,26.09584000000001,13.527935655032216,9.970404138749844,89.87329573351367,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,8245.93,22732.79427083333,110.81813,26.50793,25.587662
MN10AA0306,3,4,139.87384425,139.3815995,3.5843154559959816,145.229355,135.502823,9.726531999999992,9.700345573351868,8.911427695941878,43.20311429674063,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,8245.93,22732.79427083333,110.81813,26.50793,25.587662
MN10AA0306,4,6,93.44674300000001,93.0713275,14.77968106664465,113.945137,73.117096,40.828041,18.009140004985717,17.017386432998457,37.5437130949585,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,8245.93,22732.79427083333,110.81813,26.50793,25.587662
MN10AA0306,5,14,142.16768535714286,141.89675899999997,11.167977448583546,160.612778,128.373245,32.239532999999994,30.824712259159696,29.569416276957522,1.9022772452581065,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,8245.93,22732.79427083333,110.81813,26.50793,25.587662
MN10AA0306,6,14,100.999268,101.544273,9.507619576989994,121.813835,87.325516,34.488319000000004,49.68622459970359,49.55987022117793,0.5451720501578468,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,8245.93,22732.79427083333,110.81813,26.50793,25.587662
MN10AA0306,7,10,85.00336279999999,80.274311,15.45565817729326,109.977463,62.683537,47.293926,28.585390952602893,24.623868708633093,67.7155420782228,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,8245.93,22732.79427083333,110.81813,26.50793,25.587662
MN10AA0306,8,11,96.51131327272725,105.685333,25.10926437804983,123.265343,53.609695,69.655648,33.01199678987854,28.370725237293453,62.8107678305245,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,8245.93,22732.79427083333,110.81813,26.50793,25.587662
MN10AA0306,9,7,100.47351400000001,100.570953,3.9653203741852407,104.862762,93.113564,11.749198000000007,25.71362842553839,25.534816296969915,9.84476053495059,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,8245.93,22732.79427083333,110.81813,26.50793,25.587662
MN10AA0307,1,8,138.19885075000002,137.367859,3.3091936433647864,145.583252,133.086533,12.496718999999985,26.121654531063044,25.571106593575493,22.350092389494883,endosteal,False,Not_interrupted,False,True,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2791.924,6137.978515625,61.617096,24.310425,13.651522
MN10AA0307,2,4,159.99599075,159.9993285,1.0786345004985223,161.474228,158.511078,2.963150000000013,20.059480032549075,19.30331160448901,12.058492104362742,endosteal,False,Not_interrupted,False,True,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2791.924,6137.978515625,61.617096,24.310425,13.651522
MN10AA0307,3,3,155.68197133333334,158.690369,9.473381896218624,165.483948,142.871597,22.61235099999999,7.818417880650832,7.726345000063096,81.04450729642129,endosteal,False,Not_interrupted,False,True,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2791.924,6137.978515625,61.617096,24.310425,13.651522
MN10AA0307,4,3,144.81363933333333,145.666763,2.8052165055021283,147.742371,141.031784,6.710587000000004,9.579395016845805,8.160120237471988,26.513048388039266,endosteal,False,Not_interrupted,False,True,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2791.924,6137.978515625,61.617096,24.310425,13.651522
MN10AA0307,5,3,105.38277699999999,105.438126,0.5840582284675574,106.068817,104.641388,1.4274289999999894,11.885501454997863,9.188063927477922,85.40123270831761,endosteal,False,Not_interrupted,False,True,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2791.924,6137.978515625,61.617096,24.310425,13.651522
MN10AA0307,6,3,101.60029366666667,100.11731,4.474451475321221,107.669228,97.014343,10.654885000000007,9.928591160704297,9.665386544779267,16.426550784012584,endosteal,False,Not_interrupted,False,True,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2791.924,6137.978515625,61.617096,24.310425,13.651522
