Specimen,Break Count,interior_edge_endosteal,interior_edge_break,Interrupted_False,Interrupted_True,ridge_notch_False,ridge_notch_True,interior_notch_False,interior_notch_True,Mean_min,Mean_max,Mean_mean,Mean_median,Mean_std,Median_min,Median_max,Median_mean,Median_median,Median_std,STD_min,STD_max,STD_mean,STD_median,STD_std,Max_min,Max_max,Max_mean,Max_median,Max_std,Min_min,Min_max,Min_mean,Min_median,Min_std,Range_min,Range_max,Range_mean,Range_median,Range_std,ArcLength_min,ArcLength_max,ArcLength_mean,ArcLength_median,ArcLength_std,EuclideanLength_min,EuclideanLength_max,EuclideanLength_mean,EuclideanLength_median,EuclideanLength_std,ArcAngle_min,ArcAngle_max,ArcAngle_mean,ArcAngle_median,ArcAngle_std,Species,Common,SzCl,SizeRangeLb,SizeRangeKg,SkelPort,LPort,Element,Side,ActorTaxon,Effector,trab,Surface Area,Volume,Bounding Box Dim1,Bounding Box Dim2,Bounding Box Dim3
MN10AA0101,3,3,0,3,0,3,0,3,0,84.28056922727272,138.645195,108.24199922575758,101.80023345,22.656866414466382,87.358612,138.645195,111.6351915,108.9017675,21.026683111811437,4.724388000000005,14.88191568414073,9.913347358090933,10.133738390132066,4.149720578446572,94.493729,143.369583,122.69149800000001,130.211182,20.649802447032776,51.146866,133.920807,87.227674,76.615349,34.61548216811941,9.44877600000001,53.59583300000001,35.46382400000001,43.346863,18.86526593764235,8.673346036188526,72.00989454154077,48.67927344188993,65.35457974794049,28.41864381520421,8.387872933586921,69.44209199757738,47.50729247417533,64.69191249136169,27.72950041898514,1.5948907199688032,58.557138872289705,21.562272468162647,4.534787812229425,26.186839619965312,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,2140.8706,3382.5182291666665,82.50109,11.880726,8.557568
MN10AA0105,7,7,0,7,0,7,0,7,0,36.28574618181818,163.06361399999997,109.13915411168831,133.195328,48.393480348080594,35.363148,163.06361399999997,110.95340728571429,133.195328,47.118229520903526,0.0,17.621606746251533,7.460029469470834,3.4840567363429398,7.180967640875544,56.28336,166.124237,118.68458842857142,133.195328,40.204556325916684,20.52743,160.829132,97.68952585714285,133.195328,58.40130112659742,0.0,49.218849,20.99506257142857,9.436797999999982,20.827917993572967,2.736395621745677,35.52803868149067,14.343863377093964,8.787561056672315,11.51502482692876,2.733987574953479,32.79331705957785,13.445397463459654,7.227309126500677,10.892844430615572,17.389231474784506,55.817387023188765,33.92031292700884,32.020548356642145,13.88530895026219,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,1272.3094,1816.0100911458333,42.09954,21.448988,9.260241
MN10AA0203,4,4,0,4,0,4,0,4,0,77.54908527272728,101.2675901666667,91.05803054040406,92.70772336111112,9.93412935559214,81.709709,97.481506,88.93557525,88.275543,6.760159947106514,12.977093631053576,15.765223704739489,14.439240039291162,14.507321410685794,1.0618802222026145,99.005257,127.834839,115.28704450000001,117.154041,10.383387776906787,39.658707,84.966217,64.718384,67.124306,18.302712148928816,33.121596999999994,61.146232000000005,50.5686605,54.0034065,11.146505828093185,19.51884554013725,70.16480381161564,44.91026836085132,44.9787120458262,18.636117279677602,18.06330503368639,67.05471173221164,42.49211830805794,42.42522823316687,18.4129353487978,11.103216485396745,51.505533920715166,27.787743349063813,24.27111149507167,15.414215525909675,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,3283.1309,7811.990885416667,77.00485,24.24311,16.852058
MN10AA0207,4,4,0,4,0,4,0,4,0,57.89980209090909,130.12942500000003,89.40122541856061,84.78783729166668,26.183590005441253,56.714264,133.978546,90.682606625,86.01880824999999,27.882935359994324,1.8532328631783412,15.65963690258706,9.149911692170166,9.543388501457631,4.939715253400617,73.391167,151.610703,102.59184474999999,92.6827545,29.389711017837236,48.353729,99.183189,75.09226774999999,76.4160765,19.429192746619186,4.744324000000006,52.427514,27.499577,26.413234999999993,16.921506248132317,13.616563097872437,36.26363136652905,23.087113573177827,21.234129914154913,8.576453310242984,12.081851451660876,35.23353125915709,21.984400653274456,20.311109951139933,8.824319764792385,6.754784473665095,80.77207622886438,37.37825650917643,30.993082667088125,30.087978915757763,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,1415.7914,2530.418294270833,39.75901,18.392242,9.719141
MN10AA0302,5,5,0,5,0,5,0,5,0,59.63189199999999,96.27707475,85.1816912267507,89.568517,13.01636293920749,60.795929,97.9279785,83.5511565,86.55529,12.247014540153488,4.206804665698894,12.754311914383646,8.818991748813309,7.999140821669079,3.394631940760223,68.794777,115.00042,99.45832820000001,108.216133,16.6219492202004,49.30497,85.995804,74.78350700000001,79.446686,13.183087313797117,9.478850999999992,39.03773500000001,24.6748212,25.008743,9.965101371775175,7.624465667608064,70.16443790947693,31.461175589275786,13.040811021627404,26.549188163574293,7.226230398347399,68.79659699592706,30.941502476860887,12.87445634852206,26.28771157500043,8.241789856085088,55.51172286897969,28.893750440790786,25.40219572284797,19.46085540385356,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2314.4802,4319.266927083333,80.705185,17.984905,8.291865
MN10AA0304,10,10,0,10,0,10,0,10,0,61.56674642857143,127.34648342857145,83.76822812460318,79.43167131818183,17.44702871772956,59.710545,121.389,82.87723395,82.72312550000001,17.348650816653393,0.0,22.391668982079235,10.947237024126498,9.60871068250861,6.8425106633479205,75.898575,146.14035,100.16614760000002,99.18632149999999,18.426073572684984,24.634039,116.967308,68.2014132,65.72752,24.308571807198017,0.0,73.201151,31.964734399999998,27.576328000000004,21.839693895407716,4.452067822870854,104.3365536766671,27.651933934259734,21.653462247170932,27.355230159781147,4.446117956150063,102.90385784357164,24.70114905358494,15.966798142739679,27.64856581613002,2.4765428791482003,76.80889562428993,27.99643193981433,16.574998868469276,24.958548829866757,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,6449.401,14867.10546875,106.74329,25.193531,17.282047
MN10AA0305,7,7,0,7,0,7,0,7,0,65.333748,94.03068005555556,75.2295353531746,69.411774,11.003235644202308,63.320383,98.42506,75.33415850000002,69.411774,12.761641532875137,0.0,28.220073963083728,9.215546912736423,2.237333290487572,10.622109669039068,65.333748,141.950897,91.17904228571429,92.359093,24.11322864953346,46.986626,85.455574,62.34653042857143,65.333748,14.413098892489527,0.0,94.843159,28.83251185714286,6.903519000000003,34.32945795562986,4.240526434987706,57.53994784809351,21.16583922494516,20.43401772427453,17.94423444953255,3.9040606821615897,49.98356780552985,19.124037662498758,17.15074136036107,15.714326949876495,13.326516532100436,67.27414827466352,32.927189812808464,20.51263634631482,20.685331876950627,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,True,4063.5667,6258.709635416667,59.352997,25.89496,16.154682
MN10AA0306,9,9,0,9,0,9,0,9,0,84.97606019999999,142.16768535714286,104.76566591257817,99.43920233333334,20.195995896376143,80.274311,141.89675899999995,105.09337311111112,100.570953,20.23265057285533,3.5843154559959816,25.10926437804983,13.10565457367606,11.167977448583546,7.112962033525669,96.596725,160.612778,124.14030366666667,121.813835,19.71701779157592,53.609695,135.502823,84.97636255555555,73.117096,27.75904147565083,9.726531999999992,80.39843300000001,39.163941111111114,34.488319000000004,22.50334968783047,9.700345573351868,71.51114032066188,31.174501620101644,28.585390952602893,18.121868603863273,8.911427695941878,70.010479235683,29.28537713826723,25.534816296969915,18.39375569831933,0.5451720501578468,89.87329573351367,36.27837287856507,37.5437130949585,30.386998464024398,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,8245.93,22732.79427083333,110.81813,26.50793,25.587662
MN10AA0307,10,10,0,10,0,10,0,0,10,89.45543716666666,159.99599075,127.91093373333335,132.48101737500002,23.912658704538934,91.403332,159.9993285,127.78783014999999,132.0655215,23.93133787183178,0.0,16.52824531914975,4.738923310905069,3.0572050744334573,4.778928047597885,106.068817,165.483948,134.757058,136.173218,22.323229101402408,66.133408,158.511078,121.9306809,129.9248585,26.592466992769996,0.0,50.686088,12.826377099999997,8.682736000000006,14.182651909378727,4.379125248932663,49.03189401426957,15.436248572582732,9.75399308877505,12.812975216226606,4.305958802636175,47.28557365254227,14.549767325206343,8.85249274258852,12.545996311807999,12.058492104362742,85.40123270831761,41.92745892241595,36.90017222602277,26.106394084622504,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2791.924,6137.978515625,61.617096,24.310425,13.651522
MN10AA0308,5,5,0,5,0,5,0,5,0,76.42332474999999,119.01072125000002,96.43210913446154,101.5508621923077,15.207570484167004,75.591766,114.1060105,93.4914741,97.714714,15.22817759528177,9.755899505497894,16.829517801816174,13.793104798068544,13.75999593829366,2.7514709631608443,91.111542,144.765732,120.105789,115.835258,18.892260576800208,61.821457,103.065132,79.4832992,75.047943,14.966077496021573,23.074058000000008,61.204025,40.622489800000004,41.70060000000001,13.515016628398607,9.397930527032614,83.11632419995654,39.04732866179059,11.585301945793052,34.76154580096447,9.188253434684968,82.07830523810784,38.36918324270243,11.017357066919454,34.72613023439156,5.101206970148062,61.38996599214064,27.761091100880684,27.078847104983566,21.411382818770004,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2491.065,4272.618489583333,91.47065,13.667789,10.224865
