Test: moclan_bootstrap_1000,Reps: 300,Folds: 10
Algorithm,Mean Accuracy,Standard Deviation
Random Forest,95.51503595025262,1.333000536921486
Linear SVM,87.8017305782269,2.117763589737721
LDA,86.93162326726261,2.101643784901128
GNB,81.24259403204215,2.352964052602364
KNN,94.24543388608195,1.4657751280314013
NeuralNet,87.56061288163407,2.077470890996434

Test: moclan,Reps: 300,Folds: 10
Algorithm,Mean Accuracy,Standard Deviation
Random Forest,87.83342553963361,2.5954232996278623
Linear SVM,86.6040873087853,2.598260367697306
LDA,86.1601018804039,2.7080282726781904
GNB,80.7427731422698,3.146475616659027
KNN,82.32154906584437,3.0427164320129094
NeuralNet,82.57415200435334,3.0260225526104705

Test: breaks,Reps: 300,Folds: 10
Algorithm,Mean Accuracy,Standard Deviation
Random Forest,54.995045045045046,3.827099227210824
Linear SVM,53.74357579055565,4.293863224667647
LDA,57.59421367676401,3.770546248338791
GNB,54.91551786686014,4.04863297824207
KNN,56.08379889957071,3.734125234162697
NeuralNet,58.32649646290586,3.9220160948027525

Test: breaks_carngrouped,Reps: 300,Folds: 10
Algorithm,Mean Accuracy,Standard Deviation
Random Forest,61.187936090452865,3.6960429009400295
Linear SVM,61.1967939415926,4.412125368173507
LDA,62.79843551605297,3.780839096446498
GNB,59.245856762803065,3.7301943333014407
KNN,61.63208174617571,3.7256244081602388
NeuralNet,64.20967108047645,3.7587947007684157

