Specimen,BreakNo,Count,Mean,Median,STD,Max,Min,Range,ArcLength,EuclideanLength,ArcAngle,interior_edge,Interrupted,Interruptedby,ridge_notch,interior_notch,Species,Common,SzCl,SizeRangeLb,SizeRangeKg,SkelPort,LPort,Element,Side,ActorTaxon,Effector,trab,Surface Area,Volume,Bounding Box Dim1,Bounding Box Dim2,Bounding Box Dim3
MN10AA2207,4,1,64.110291,64.110291,0.0,64.110291,64.110291,0.0,7.153085505125162,7.147868802657199,22.46765925783622,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,False,1633.73779296875,2953.8056640625,49.342063903808594,17.816715240478516,9.2061767578125
MN10AA2207,5,4,150.595028,152.041832,9.836193303472577,162.43145800000002,135.86498999999998,26.566468000000043,12.241822390236505,12.11148808363365,11.722506682614362,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,False,1633.73779296875,2953.8056640625,49.342063903808594,17.816715240478516,9.2061767578125
MN10AA2207,6,9,147.45741111111113,142.673203,12.60432399166337,165.290009,132.643692,32.64631700000001,14.373350695420681,11.716665242721577,31.433922393036283,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,False,1633.73779296875,2953.8056640625,49.342063903808594,17.816715240478516,9.2061767578125
MN10AA2207,7,10,157.9929108,159.875153,9.210837759916346,168.865829,142.24046299999998,26.625366000000014,8.466873180026688,7.854094528333616,38.059084255762734,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,False,1633.73779296875,2953.8056640625,49.342063903808594,17.816715240478516,9.2061767578125
MN10AA2207,8,1,134.361389,134.361389,0.0,134.361389,134.361389,0.0,2.556416438683809,2.532391843692438,89.46678419110631,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,False,1633.73779296875,2953.8056640625,49.342063903808594,17.816715240478516,9.2061767578125
MN10AA2207,9,6,87.11827849999999,84.328247,11.337295777488276,105.93009199999999,75.40808100000001,30.522010999999978,15.949863253359872,15.784404630520594,13.070722705565045,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,False,1633.73779296875,2953.8056640625,49.342063903808594,17.816715240478516,9.2061767578125
MN10AA2207,10,3,154.11005166666666,151.434677,4.775986341602279,160.81866499999998,150.076813,10.741851999999994,5.9473911633440135,5.817177440993182,88.09883917255569,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,False,1633.73779296875,2953.8056640625,49.342063903808594,17.816715240478516,9.2061767578125
MN10AA2208,1,10,97.3335953,94.94269150000001,8.771076059864265,116.88202700000001,86.813148,30.06887900000001,30.243323276810806,29.925449757856605,24.246084591594254,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,False,2659.9306640625,5363.8857421875,76.04624938964844,18.652618408203125,10.287043571472168
MN10AA2208,2,9,63.876292666666664,62.772602,6.761489761219689,74.41969300000001,53.779701,20.639992000000007,33.51562154236068,33.453155133111146,5.5301976039117235,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,False,2659.9306640625,5363.8857421875,76.04624938964844,18.652618408203125,10.287043571472168
MN10AA2208,3,6,156.6056085,157.569626,7.648614652994445,165.453201,145.170471,20.282730000000015,12.407283984018692,11.443647753229731,20.46018202516834,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,False,2659.9306640625,5363.8857421875,76.04624938964844,18.652618408203125,10.287043571472168
